-0.6676598,-14.4776967,5.6171656
-0.6918827,-14.2790354,5.6258381
-0.7043115,-14.0799527,5.6963775
-0.7076046,-13.8802063,5.8313215
-0.7043684,-13.6803929,5.9874707
-0.6970165,-13.4807362,6.1384453
-0.6873436,-13.2811710,6.2846277
-0.6763073,-13.0816394,6.4263540
-0.6645844,-12.8821955,6.5639218
-0.6527148,-12.6827388,6.6975960
-0.6411580,-12.4832592,6.8276137
-0.6301227,-12.2837709,6.9541882
-0.6196531,-12.0842332,7.0775122
-0.6097308,-11.8846740,7.1977605
-0.6003265,-11.6850859,7.3150924
-0.5914117,-11.4854767,7.4296535
-0.5829575,-11.2858470,7.5415774
-0.5749352,-11.0861909,7.6509868
-0.5673175,-10.8865301,7.7579951
-0.5600761,-10.6868483,7.8627072
-0.5531840,-10.4871522,7.9652201
-0.5466145,-10.2874491,8.0656243
-0.5403410,-10.0877329,8.1640040
-0.5343378,-9.8880137,8.2604377
-0.5285788,-9.6882776,8.3549990
-0.5230394,-9.4885426,8.4477568
-0.5176944,-9.2888065,8.5387757
-0.5125187,-9.0890503,8.6281166
-0.5074886,-8.8893081,8.7158368
-0.5025794,-8.6895579,8.8019904
-0.4977671,-8.4897945,8.8866283
-0.4930286,-8.2900514,8.9697989
-0.4883396,-8.0902915,9.0515480
-0.4836775,-7.8905326,9.1319190
-0.4790199,-7.6907878,9.2109530
-0.4743437,-7.4910275,9.2886893
-0.4696291,-7.2912845,9.3651651
-0.4648536,-7.0915277,9.4404160
-0.4599980,-6.8917797,9.5144758
-0.4550494,-6.6920651,9.5873769
-0.4499467,-6.4922814,9.6591502
-0.4446039,-6.2927149,9.7298252
-0.4389434,-6.0930270,9.7994302
-0.4329207,-5.8931336,9.8679924
-0.4265287,-5.6935874,9.9355377
-0.4197031,-5.4938104,10.0020910
-0.4124021,-5.2940807,10.0676763
-0.4045814,-5.0944778,9.9450030
-0.3961815,-4.8947551,9.6923546
-0.3871623,-4.6951571,9.4356947
-0.3774696,-4.4955595,9.1743163
-0.3670580,-4.2959867,8.9075962
-0.3558792,-4.0964703,8.6356607
-0.3438645,-3.8969870,8.3598243
-0.3308996,-3.6976374,8.0811976
-0.3167976,-3.4982306,7.7989568
-0.3013909,-3.2990287,7.5116215
-0.2844887,-3.0999607,7.2172477
-0.2658638,-2.9009042,6.9257591
-0.2450640,-2.7022898,6.6530627
-0.2208455,-2.5039544,6.4498344
-0.1907957,-2.3064976,6.3073555
-0.1525731,-2.1103390,6.2192613
-0.1043461,-1.9161890,6.1547060
-0.0450201,-1.7246703,6.1091659
0.0253025,-1.5385741,6.0848331
0.1083450,-1.3551853,6.0604027
0.2027222,-1.1780004,6.0447926
0.3066022,-1.0085545,6.0503954
0.4187533,-0.8450809,6.1037293
0.5375896,-0.6843663,6.2293600
0.6587095,-0.5282607,6.0566984
0.7862458,-0.3763618,5.9644109
0.9239248,-0.2296806,5.9058871
1.0703749,-0.0921411,5.8645618
1.2241126,0.0341879,5.8230600
1.3877956,0.1510577,5.7843671
1.5581966,0.2557295,5.7460802
1.7359791,0.3484374,5.7132076
1.9189954,0.4277012,5.6904520
2.1078013,0.4935162,5.6676050
2.3003452,0.5457740,5.6676781
2.4959622,0.5856225,5.7040196
2.6936829,0.6144350,5.7802146
2.8925129,0.6336427,5.8910134
3.0920127,0.6448120,6.0347178
3.2917212,0.6495419,6.1841711
3.4915349,0.6493598,6.3289407
