# MPC Raceline Trajectory — generated by Raceline-Optimization
# Columns: s_m [m], x_m [m], y_m [m], psi_rad [rad], kappa_radpm [rad/m], vx_mps [m/s], ax_mps2 [m/s^2]
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,14.5930349,-25.7623281,1.2078145,0.0436360,9.2066633,0.6015100
0.1999184,14.4057502,-25.6921243,1.2164767,0.0429741,9.2197156,0.6424572
0.3998368,14.2179762,-25.6235714,1.2249975,0.0422750,9.2336360,0.6858691
0.5997553,14.0296479,-25.5566140,1.2333769,0.0415694,9.2484739,0.7291340
0.7996737,13.8406773,-25.4911923,1.2416212,0.0408864,9.2642217,0.7697857
0.9995921,13.6512669,-25.4273474,1.2497252,0.0402047,9.2808185,0.8097499
1.1995105,13.4613164,-25.3650159,1.2576957,0.0395327,9.2982450,0.8483369
1.3994290,13.2708474,-25.3041775,1.2655338,0.0388714,9.3164669,0.8855262
1.5993474,13.0799901,-25.2448456,1.2732369,0.0382131,9.3354498,0.9220359
1.7992658,12.8886085,-25.1869502,1.2808131,0.0375676,9.3551743,0.9570481
1.9991842,12.6968135,-25.1304987,1.2882597,0.0369290,9.3756039,0.9911321
2.1991027,12.5046776,-25.0754847,1.2955768,0.0362937,9.3967143,1.0246471
2.3990211,12.3120381,-25.0218358,1.3027725,0.0356728,9.4184888,1.0566356
2.5989395,12.1190737,-24.9695766,1.3098420,0.0350561,9.4408905,1.0880576
2.7988579,11.9257948,-24.9186832,1.3167875,0.0344438,9.4639030,1.1189269
2.9987763,11.7320696,-24.8690963,1.3236154,0.0338448,9.4875101,1.1484592
3.1986948,11.5380771,-24.8208373,1.3303212,0.0332489,9.5116793,1.1776276
3.3986132,11.3437826,-24.7738722,1.3369084,0.0326588,9.5363988,1.2061942
3.5985316,11.1491214,-24.7281617,1.3433807,0.0320793,9.5616517,1.2337553
3.7984500,10.9542284,-24.6837137,1.3497353,0.0315026,9.5874128,1.2610426
3.9983685,10.7590487,-24.6404915,1.3559761,0.0309328,9.6136723,1.2877077
4.1982869,10.5635700,-24.5984696,1.3621046,0.0303713,9.6404133,1.3136460
4.3982053,10.3678910,-24.5576461,1.3681195,0.0298124,9.6676167,1.3393923
4.5981237,10.1719431,-24.5179836,1.3740247,0.0292610,9.6952747,1.3645203
4.7980422,9.9757532,-24.4794656,1.3798202,0.0287159,9.7233706,1.3891550
4.9979606,9.7793910,-24.4420830,1.3855058,0.0281732,9.7518907,1.4136724
5.1978790,9.5827793,-24.4057993,1.3910852,0.0276382,9.7808287,1.4375953
5.3977974,9.3859736,-24.3706032,1.3965575,0.0271079,9.8101689,1.4612202
5.5977158,9.1890200,-24.3364810,1.4019232,0.0265798,9.8399016,1.4847965
5.7976343,8.9918378,-24.3033974,1.4071856,0.0260593,9.8700223,1.5078188
5.9975527,8.7945012,-24.2713441,1.4123435,0.0255422,9.9005162,1.5307062
6.1974711,8.5970384,-24.2403044,1.4173976,0.0250270,9.9313773,1.5536082
6.3973895,8.3993684,-24.2102447,1.4223509,0.0245192,9.9626023,1.5760105
6.5973080,8.2015768,-24.1811579,1.4272020,0.0240137,9.9941779,1.5984137
6.7972264,8.0036776,-24.1530251,1.4319517,0.0235099,10.0261007,1.6208903
6.9971448,7.8055934,-24.1258152,1.4366028,0.0230130,10.0583690,1.6429332
7.1970632,7.6074140,-24.0995207,1.4411537,0.0225176,10.0909708,1.6650901
7.3969816,7.4091397,-24.0741213,1.4456056,0.0220238,10.1239052,1.6873529
7.5969001,7.2107097,-24.0495895,1.4499603,0.0215359,10.1571710,1.7093026
7.7968185,7.0122019,-24.0259154,1.4542168,0.0210491,10.1907588,1.7314376
7.9967369,6.8136091,-24.0030783,1.4583761,0.0205639,10.2246691,1.7537019
8.1966553,6.6148909,-23.9810542,1.4624395,0.0200834,10.2589011,1.7757941
8.3965738,6.4161071,-23.9598303,1.4664064,0.0196037,10.2934484,1.7981209
8.5964922,6.2172481,-23.9393864,1.4702776,0.0191256,10.3283123,1.8206085
8.7964106,6.0182896,-23.9197007,1.4740539,0.0186511,10.3634927,1.8430504
8.9963290,5.8192756,-23.9007586,1.4777350,0.0181772,10.3989856,1.8657740
9.1962475,5.6201961,-23.8825400,1.4813217,0.0177048,10.4347931,1.8886970
9.3961659,5.4210389,-23.8650249,1.4848143,0.0172350,10.4709158,1.9116885
9.5960843,5.2218347,-23.8481971,1.4882129,0.0167656,10.5073517,1.9350072
9.7960027,5.0225744,-23.8320370,1.4915178,0.0162975,10.5441039,1.9585703
9.9959211,4.8232547,-23.8165256,1.4947294,0.0158312,10.5811737,1.9823061
10.1958396,4.6238946,-23.8016458,1.4978476,0.0153652,10.6185609,2.0064136
10.3957580,4.4244877,-23.7873782,1.5008729,0.0149000,10.6562692,2.0308161
10.5956764,4.2250367,-23.7737045,1.5038053,0.0144362,10.6943007,2.0554874
10.7955948,4.0255502,-23.7606067,1.5066449,0.0139723,10.7326571,2.0805743
10.9955133,3.8260259,-23.7480661,1.5093920,0.0135091,10.7713425,2.1060125
11.1954317,3.6264699,-23.7360644,1.5120464,0.0130465,10.8103598,2.1318089
11.3953501,3.4268821,-23.7245832,1.5146084,0.0125838,10.8497122,2.1580649
11.5952685,3.2272654,-23.7136041,1.5170779,0.0121214,10.8894044,2.1847340
11.7951870,3.0276266,-23.7031090,1.5194549,0.0116591,10.9294403,2.2118454
11.9951054,2.8279584,-23.6930790,1.5217396,0.0111966,10.9698242,2.2394604
12.1950238,2.6282702,-23.6834960,1.5239317,0.0107340,11.0105614,2.2675572
12.3949422,2.4285672,-23.6743418,1.5260313,0.0102712,11.0516567,2.2961752
12.5948606,2.2288359,-23.6655972,1.5280385,0.0098079,11.0931155,2.3253418
12.7947791,2.0290938,-23.6572445,1.5299529,0.0093442,11.1349436,2.3550660
12.9946975,1.8293415,-23.6492652,1.5317745,0.0088800,11.1771468,2.3853860
13.1946159,1.6295613,-23.6416400,1.5335034,0.0084152,11.2197315,2.4163011
13.3945343,1.4297799,-23.6343512,1.5351392,0.0079495,11.2627040,2.4478583
13.5944528,1.2299905,-23.6273801,1.5366818,0.0074831,11.3060712,2.4800814
13.7943712,1.0301725,-23.6207073,1.5381312,0.0070159,11.3498402,2.5129480
13.9942896,0.8303637,-23.6143154,1.5394869,0.0065476,11.3940179,2.5465516
14.1942080,0.6305468,-23.6081850,1.5407490,0.0060782,11.4386122,2.5808866
14.3941265,0.4306999,-23.6022967,1.5419173,0.0056081,11.4836310,2.6159159
14.5940449,0.2308738,-23.5966332,1.5429912,0.0051362,11.5290815,2.6344976
14.7939633,0.0310367,-23.5911748,1.5439707,0.0046632,11.5746745,2.6133739
14.9938817,-0.1688324,-23.5859020,1.5448558,0.0041895,11.6197252,2.5924195
15.1938001,-0.3686675,-23.5807976,1.5456456,0.0037135,11.6642427,2.5716332
15.3937186,-0.5685192,-23.5758412,1.5463404,0.0032363,11.7082361,2.5510135
15.5936370,-0.7684054,-23.5710133,1.5469397,0.0027583,11.7517140,2.5305592
15.7935554,-0.9682424,-23.5662969,1.5474430,0.0022775,11.7946849,2.5102689
15.9934738,-1.1681045,-23.5616709,1.5478502,0.0017956,11.8371572,2.4901412
16.1933923,-1.3680026,-23.5571159,1.5481610,0.0013128,11.8791389,2.4701750
16.3933107,-1.5678363,-23.5526148,1.5483747,0.0008266,11.9206379,2.4503688
16.5932291,-1.7677056,-23.5481460,1.5484914,0.0003394,11.9616619,2.4307215
16.7931475,-1.9676019,-23.5436901,1.5485104,-0.0001489,12.0022184,2.4112317
16.9930660,-2.1674369,-23.5392296,1.5484315,-0.0006408,12.0423148,2.3918981
17.1929844,-2.3673107,-23.5347426,1.5482542,-0.0011337,12.0819583,2.3727196
17.3929028,-2.5671988,-23.5302100,1.5479781,-0.0016281,12.1211557,2.3536949
17.5928212,-2.7670324,-23.5256135,1.5476029,-0.0021262,12.1599141,2.3348227
17.7927396,-2.9669080,-23.5209311,1.5471281,-0.0026252,12.1982400,2.3161018
17.9926581,-3.1667810,-23.5161437,1.5465531,-0.0031263,12.2361399,2.2975310
18.1925765,-3.3666104,-23.5112324,1.5458778,-0.0036309,12.2736204,2.2791091
18.3924949,-3.5664849,-23.5061749,1.5451014,-0.0041363,12.3106876,2.2608350
18.5924133,-3.7663347,-23.5009526,1.5442236,-0.0046447,12.3473477,2.2345900
18.7923318,-3.9661565,-23.4955453,1.5432442,-0.0051561,12.3834756,2.1340970
18.9922502,-4.1660260,-23.4899305,1.5421621,-0.0056684,12.4178806,2.0335873
19.1921686,-4.3658431,-23.4840906,1.5409773,-0.0061845,12.4505767,1.9326728
19.3920870,-4.5656524,-23.4780037,1.5396894,-0.0067031,12.4815710,1.8316047
19.5920054,-4.7655118,-23.4716471,1.5382971,-0.0072225,12.5108736,1.7307082
19.7919239,-4.9652844,-23.4650045,1.5368010,-0.0077468,12.5384990,1.6294145
19.9918423,-5.1650749,-23.4580516,1.5351999,-0.0082728,12.5644522,0.9216042
20.1917607,-5.3649168,-23.4507659,1.5334928,-0.0087997,12.5791077,-7.6635848
20.3916791,-5.5646309,-23.4431330,1.5316808,-0.0093324,12.4567157,-7.5499884
20.5915976,-5.7643938,-23.4351250,1.5297619,-0.0098663,12.3349504,-7.4397156
20.7915160,-5.9641717,-23.4267216,1.5277354,-0.0104024,12.2137762,-7.3325556
20.9914344,-6.1638466,-23.4179065,1.5256024,-0.0109416,12.0931594,-7.2284739
21.1913528,-6.3635706,-23.4086516,1.5233609,-0.0114840,11.9730653,-7.1267514
21.3912713,-6.5632639,-23.3989385,1.5210098,-0.0120342,11.8534702,-7.0303179
21.5911897,-6.7628862,-23.3887475,1.5185505,-0.0125708,11.7342991,-6.9357554
21.7911081,-6.9625567,-23.3780508,1.5159835,-0.0131179,11.6155329,-6.8366043
21.9910265,-7.1621406,-23.3668335,1.5133005,-0.0137245,11.4972640,-6.7596628
22.1909449,-7.3616841,-23.3550696,1.5105057,-0.0141866,11.3791176,-6.7019968
22.3908634,-7.5612879,-23.3427341,1.5076315,-0.0145174,11.2607554,-6.7020296
22.5907818,-7.7607252,-23.3298310,1.5047541,-0.0142785,11.1411352,-6.7168340
22.7907002,-7.9601990,-23.3163537,1.5019213,-0.0140769,11.0199481,-6.7257988
22.9906186,-8.1596771,-23.3023118,1.4991224,-0.0139180,10.8972489,-6.7285931
23.1905371,-8.3590159,-23.2877223,1.4963582,-0.0137402,10.7731005,-6.7327223
23.3904555,-8.5583873,-23.2725798,1.4936285,-0.0135628,10.6474271,-6.7358345
23.5903739,-8.7576986,-23.2568981,1.4909349,-0.0133847,10.5201934,-6.7380737
23.7902923,-8.9569480,-23.2406848,1.4882775,-0.0131982,10.3913588,-6.7402398
23.9902108,-9.1561912,-23.2239425,1.4856572,-0.0130101,10.2608646,-6.7415704
24.1901292,-9.3553561,-23.2066852,1.4830765,-0.0128095,10.1286630,-6.7431633
24.3900476,-9.5544914,-23.1889165,1.4805359,-0.0126002,9.9946810,-6.7445320
24.5899660,-9.7535813,-23.1706462,1.4780383,-0.0123866,9.8588507,-6.7451974
24.7898844,-9.9526231,-23.1518833,1.4755857,-0.0121493,9.7211089,-6.7469491
24.9898029,-10.1516209,-23.1326368,1.4731805,-0.0119046,9.5813506,-6.7480898
