# MPC Raceline Trajectory — generated by Raceline-Optimization
# Columns: s_m [m], x_m [m], y_m [m], psi_rad [rad], kappa_radpm [rad/m], vx_mps [m/s], ax_mps2 [m/s^2]
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
14.1920361,0.5891105,-23.2682008,1.4492838,0.0162256,11.8325336,0.9206119
14.3919239,0.3906553,-23.2442939,1.4525376,0.0163306,11.8480753,0.8925127
14.5918118,0.1921561,-23.2210388,1.4558121,0.0164375,11.8631233,0.8644962
14.7916996,-0.0064868,-23.1984282,1.4591091,0.0165454,11.8776807,0.8366621
14.9915874,-0.2051607,-23.1764794,1.4624272,0.0166555,11.8917524,0.8088463
15.1914753,-0.4038882,-23.1551942,1.4657672,0.0167675,11.9053405,0.7810961
15.3913631,-0.6027451,-23.1345690,1.4691308,0.0168814,11.9184477,0.7534211
15.5912509,-0.8016215,-23.1146199,1.4725165,0.0169975,11.9310769,0.7257668
15.7911388,-1.0005640,-23.0953466,1.4759256,0.0171157,11.9432298,0.6981670
15.9910266,-1.1996168,-23.0767498,1.4793594,0.0172359,11.9549090,0.6706011
16.1909144,-1.3986796,-23.0588438,1.4828165,0.0173583,11.9661163,0.6430910
16.3908023,-1.5978212,-23.0416269,1.4862985,0.0174825,11.9768540,0.6156488
16.5906901,-1.7970515,-23.0251037,1.4898061,0.0176088,11.9871245,0.5882688
16.7905779,-1.9962843,-23.0092860,1.4933381,0.0177365,11.9969299,0.5610208
16.9904658,-2.1956063,-22.9941723,1.4968965,0.0178659,12.0062738,0.5339005
17.1903536,-2.3949952,-22.9797694,1.5004810,0.0179965,12.0151592,0.5069445
17.3902414,-2.5943815,-22.9660875,1.5040909,0.0181279,12.0235899,0.4802481
17.5901293,-2.7938625,-22.9531252,1.5077278,0.0182599,12.0315712,0.4538098
17.7900171,-2.9933904,-22.9408910,1.5113912,0.0183919,12.0391083,0.4277160
17.9899049,-3.1929128,-22.9293932,1.5150801,0.0185234,12.0462077,0.4020717
18.1897928,-3.3925289,-22.9186314,1.5187961,0.0186539,12.0528776,0.3769107
18.3896806,-3.5921748,-22.9086144,1.5225378,0.0187826,12.0591267,0.3523582
18.5895684,-3.7918148,-22.8993490,1.5263043,0.0189088,12.0649659,0.3285173
18.7894563,-3.9915400,-22.8908360,1.5300966,0.0190317,12.0704074,0.3055016
18.9893441,-4.1912814,-22.8830834,1.5339128,0.0191502,12.0754655,0.2834465
19.1892319,-4.3910192,-22.8760966,1.5377516,0.0192636,12.0801565,-0.5476647
19.3891198,-4.5908255,-22.8698774,1.5416133,0.0193703,12.0710910,-6.0836914
19.5890076,-4.7906381,-22.8644325,1.5454952,0.0194694,11.9699259,-6.0694842
19.7888954,-4.9904523,-22.8597655,1.5493957,0.0195602,11.8681378,-6.0572951
19.9887833,-5.1903099,-22.8558792,1.5533138,0.0196396,11.7656762,-6.0470691
20.1886711,-5.3901676,-22.8527777,1.5572465,0.0197074,11.6624897,-6.0387912
20.3885589,-5.5900357,-22.8504634,1.5611914,0.0197631,11.5585251,-6.0330659
20.5884468,-5.7899133,-22.8489387,1.5651457,0.0198014,11.4537169,-6.0294826
20.7883346,-5.9897887,-22.8482050,1.5691063,0.0198245,11.3480038,-6.0280709
20.9882224,-6.1896871,-22.8482633,1.5730702,0.0198313,11.2413217,-6.0280711
21.1881102,-6.3895522,-22.8491137,1.5770315,0.0198064,11.1336175,-6.0306234
21.3879981,-6.5894176,-22.8507553,1.5809874,0.0197801,11.0248148,-6.0332289
21.5878859,-6.7893234,-22.8531878,1.5849389,0.0197407,10.9148799,-6.0372619
21.7877737,-6.9891403,-22.8564068,1.5888642,0.0195401,10.8037518,-6.0541925
21.9876616,-7.1889716,-22.8604072,1.5927623,0.0195794,10.6911521,-6.0386579
22.1875494,-7.3888658,-22.8651919,1.5967012,0.0197080,10.5776474,-6.0387031
22.3874372,-7.5886290,-22.8707415,1.6003394,0.0167110,10.4629106,-6.3663613
22.5873251,-7.7884391,-22.8769600,1.6033698,0.0134825,10.3405697,-6.7035112
22.7872129,-7.9882472,-22.8837173,1.6057198,0.0100310,10.2101656,-7.0460152
22.9871007,-8.1879979,-22.8908751,1.6074022,0.0068063,10.0712788,-7.3451258
23.1869886,-8.3877720,-22.8983060,1.6084422,0.0036049,9.9244271,-7.6217502
23.3868764,-8.5875032,-22.9058794,1.6088443,0.0004181,9.7697115,-7.5952845
23.5867642,-8.7872954,-22.9134718,1.6086074,-0.0027905,9.6130564,-7.2538425
23.7866521,-8.9870623,-22.9209515,1.6077260,-0.0060458,9.4610224,-6.9271628
23.9865399,-9.1867646,-22.9281870,1.6061869,-0.0093647,9.3135188,-6.6074452
24.1864277,-9.3866298,-22.9350529,1.6039692,-0.0128306,9.1706127,-6.2962052
24.3863156,-9.5864180,-22.9414030,1.6010500,-0.0164228,9.0323345,-5.9910952
24.5862034,-9.7861424,-22.9470944,1.5973960,-0.0201659,8.8987625,-5.6844333
24.7860912,-9.9860893,-22.9519844,1.5929663,-0.0241562,8.7701468,-5.3814307
24.9859791,-10.1859197,-22.9559056,1.5877278,-0.0283271,8.6466242,-5.0805418
25.1858669,-10.3856884,-22.9586940,1.5816333,-0.0326950,8.5283664,-4.7754524
25.3857547,-10.5856829,-22.9601767,1.5746319,-0.0373435,8.4156951,-4.4739853
25.5856426,-10.7855361,-22.9601661,1.5666941,-0.0421583,8.3087504,-4.1767462
25.7855304,-10.9853205,-22.9584721,1.5577756,-0.0471185,8.2076532,-3.8813429
25.9854182,-11.1852389,-22.9548927,1.5478414,-0.0522451,8.1125770,-3.5951034
26.1853061,-11.3849923,-22.9492292,1.5368891,-0.0574101,8.0235074,-3.3223858
26.3851939,-11.5846957,-22.9412735,1.5249003,-0.0625226,7.9403061,-3.0731796
26.5850817,-11.7842556,-22.9308255,1.5119144,-0.0673978,7.8625619,-2.8383735
26.7849696,-11.9836062,-22.9176950,1.4979769,-0.0721523,7.7900684,-2.6359898
26.9848574,-12.1829689,-22.9016746,1.4831002,-0.0764669,7.7221345,-2.4999193
27.1847452,-12.3817443,-22.8826452,1.4674982,-0.0797493,7.6571506,-2.2645045
27.3846331,-12.5802082,-22.8604474,1.4511515,-0.0847635,7.5978063,-2.0114327
27.5845209,-12.7787395,-22.8348309,1.4336208,-0.0901236,7.5447027,-1.9045297
27.7844087,-12.9757702,-22.8058038,1.4153352,-0.0929770,7.4940746,-1.9005371
27.9842966,-13.1726293,-22.7730759,1.3968219,-0.0915771,7.4432094,-2.0309165
28.1841844,-13.3701855,-22.7364996,1.3787305,-0.0885488,7.3884677,-2.2394314
28.3840722,-13.5650630,-22.6968125,1.3609967,-0.0900903,7.3276316,-2.2018519
28.5839601,-13.7606973,-22.6532908,1.3427290,-0.0919691,7.2673199,-2.2001052
28.7838479,-13.9549576,-22.6063082,1.3242280,-0.0932207,7.2065518,-2.1726256
28.9837357,-14.1482156,-22.5557384,1.3054415,-0.0950033,7.1460357,-2.1143611
29.1836236,-14.3412331,-22.5012875,1.2861545,-0.0974250,7.0866464,-2.0824272
29.3835114,-14.5320720,-22.4434189,1.2665354,-0.0993758,7.0276634,-2.0354463
29.5833992,-14.7225744,-22.3814927,1.2463904,-0.1016718,6.9695287,-2.0009881
29.7832870,-14.9112579,-22.3158876,1.2258850,-0.1037597,6.9119017,-1.9632473
29.9831749,-15.0988639,-22.2462602,1.2048747,-0.1059610,6.8548907,-1.9253325
30.1830627,-15.2847822,-22.1727382,1.1834819,-0.1082119,6.7985164,-1.9018713
30.3829505,-15.4692791,-22.0951198,1.1615990,-0.1102025,6.7423663,-1.8529934
30.5828384,-15.6515705,-22.0136534,1.1393579,-0.1127888,6.6872058,-1.8420705
30.7827262,-15.8327365,-21.9277423,1.1165694,-0.1145899,6.6319158,-1.7959441
30.9826140,-16.0110695,-21.8381059,1.0934202,-0.1172249,6.5775628,-1.7768038
31.1825019,-16.1880007,-21.7439194,1.0697454,-0.1192967,6.5233434,-1.7475783
31.3823897,-16.3623827,-21.6456678,1.0455804,-0.1216515,6.4695726,-1.7091145
31.5822775,-16.5335487,-21.5436687,1.0211150,-0.1242717,6.4165495,-1.7085270
31.7821654,-16.7038036,-21.4363926,0.9959391,-0.1256961,6.3631030,-1.7221747
31.9820532,-16.8696051,-21.3259903,0.9706831,-0.1272657,6.3087714,-1.7283292
32.1819410,-17.0331779,-21.2109827,0.9453299,-0.1265554,6.2537710,-1.8235971
32.3818289,-17.1947801,-21.0911350,0.9201973,-0.1220457,6.1952096,-2.0647066
32.5817167,-17.3520519,-20.9684360,0.8966629,-0.1112764,6.1282300,-2.5370225
32.7816045,-17.5056445,-20.8430951,0.8768071,-0.0869964,6.0449122,-3.5083773
32.9814924,-17.6585908,-20.7139012,0.8634403,-0.0426143,5.9277651,-5.2063895
33.1813802,-17.8105551,-20.5834890,0.8625166,0.0411771,5.7495227,-3.0109147
33.3812680,-17.9626890,-20.4549949,0.8786594,0.1138925,5.6438746,-2.9081884
33.5811559,-18.1171667,-20.3295504,0.8955807,0.0315719,5.5399186,-4.2073804
33.7810437,-18.2727238,-20.2047969,0.8902740,-0.0818494,5.3859716,-1.6719492
33.9809315,-18.4262844,-20.0775697,0.8644802,-0.1727707,5.3235594,-0.7562648
34.1808194,-18.5755230,-19.9452700,0.8255048,-0.2070763,5.2950872,-0.5577866
34.3807072,-18.7194557,-19.8066960,0.7829517,-0.2157113,5.2739889,-0.5577866
34.5805950,-18.8576938,-19.6616138,0.7394860,-0.2170900,5.2528059,-0.5432554
34.7804829,-18.9899327,-19.5101317,0.6958715,-0.2169177,5.2320923,-0.4870371
34.9803707,-19.1140791,-19.3548418,0.6530103,-0.2147431,5.2134522,-0.3817915
35.1802585,-19.2320140,-19.1936349,0.6102851,-0.2124684,5.1987934,-0.2844750
35.3801464,-19.3434628,-19.0268318,0.5678124,-0.2106517,5.1878441,-0.2091371
35.5800342,-19.4473795,-18.8561412,0.5259968,-0.2083147,5.1797798,-0.1271459
35.7799220,-19.5440182,-18.6814382,0.4846409,-0.2055712,5.1748709,-0.0420679
35.9798099,-19.6337066,-18.5022681,0.4436365,-0.2033793,5.1732457,0.0203863
36.1796977,-19.7158141,-18.3200888,0.4033267,-0.2004191,5.1740334,0.0978122
36.3795855,-19.7905679,-18.1347536,0.3635716,-0.1969291,5.1778108,0.1827560
36.5794734,-19.8580769,-17.9462895,0.3244588,-0.1936921,5.1848612,0.2539244
36.7793612,-19.9181228,-17.7557453,0.2862510,-0.1890496,5.1946413,0.3575007
36.9792490,-19.9709758,-17.5628860,0.2488830,-0.1840870,5.2083797,0.4622364
37.1791369,-20.0166886,-17.3682284,0.2126000,-0.1790286,5.2260893,0.5626685
37.3790247,-20.0554165,-17.1720788,0.1774941,-0.1722640,5.2475662,0.7041623
37.5789125,-20.0873667,-16.9746950,0.1436807,-0.1654897,5.2743206,0.8384741
37.7788003,-20.1127548,-16.7764924,0.1113608,-0.1581265,5.3060022,0.9835826
37.9786882,-20.1318966,-16.5773003,0.0805265,-0.1498730,5.3429272,1.1491307
38.1785760,-20.1450396,-16.3779144,0.0513903,-0.1415553,5.3857466,1.3123339
38.3784638,-20.1525423,-16.1781537,0.0239861,-0.1326919,5.4342346,1.4892896
38.5783517,-20.1547470,-15.9780921,-0.0016117,-0.1227473,5.4887418,1.6979437
38.7782395,-20.1520532,-15.7785115,-0.0250138,-0.1119143,5.5502327,1.9347223
38.9781273,-20.1448814,-15.5786853,-0.0464013,-0.1018711,5.6194785,2.1498003
39.1780152,-20.1336417,-15.3790777,-0.0657829,-0.0922832,5.6954347,2.3560245
39.3779030,-20.1187422,-15.1799409,-0.0832620,-0.0828797,5.7775304,2.5641042
39.5777908,-20.1005233,-14.9808507,-0.0989576,-0.0740512,5.8655711,2.7623343
39.7776787,-20.0793642,-14.7821046,-0.1128870,-0.0654889,5.9589628,2.9624554
39.9775665,-20.0556159,-14.5837274,-0.1251202,-0.0570309,6.0575206,3.1715003
40.1774543,-20.0295959,-14.3855501,-0.1357069,-0.0488591,6.1612859,3.3839792
40.3773422,-20.0016516,-14.1877056,-0.1446574,-0.0407888,6.2701098,3.6080307
40.5772300,-19.9720853,-13.9900252,-0.1520053,-0.0327449,6.3840958,3.8481135
40.7771178,-19.9412270,-13.7925515,-0.1577523,-0.0247643,6.5034654,4.1044282
40.9770057,-19.9094147,-13.5953724,-0.1618969,-0.0167235,6.6284170,4.3841683
41.1768935,-19.8769056,-13.3980721,-0.1644407,-0.0086671,6.7593340,4.3837848
41.3767813,-19.8440703,-13.2009195,-0.1653534,-0.0005127,6.8877519,-3.6953660
41.5766692,-19.8112502,-13.0039784,-0.1646291,0.0078468,6.7796614,-6.1667488
41.7765570,-19.7786690,-12.8065669,-0.1622308,0.0162200,6.5953387,-5.8012170
41.9764448,-19.7467788,-12.6093555,-0.1581166,0.0248807,6.4171105,-5.4630078
42.1763327,-19.7158868,-12.4120987,-0.1522743,0.0338242,6.2446241,-5.1620003
42.3762205,-19.6862317,-12.2139906,-0.1446085,0.0427440,6.0771447,-4.8705445
42.5761083,-19.6583933,-12.0164747,-0.1351134,0.0523379,5.9147750,-4.6059664
42.7759962,-19.6325719,-11.8183129,-0.1237098,0.0621144,5.7570139,-4.3688603
42.9758840,-19.6091578,-11.6193662,-0.1102625,0.0720062,5.6032710,-4.1274942
43.1757718,-19.5887204,-11.4211206,-0.0948237,0.0830021,5.4540420,-3.9189551
43.3756597,-19.5714870,-11.2215930,-0.0771334,0.0939021,5.3084716,-3.7172807
43.5755475,-19.5580487,-11.0224087,-0.0572077,0.1055685,5.1666036,-3.5161551
43.7754353,-19.5488078,-10.8228649,-0.0349201,0.1182753,5.0287294,-3.3343306
43.9753232,-19.5442756,-10.6225772,-0.0098931,0.1313311,4.8943983,-3.1857037
44.1752110,-19.5449967,-10.4232148,0.0175547,0.1441320,4.7625170,-3.0522263
44.3750988,-19.5515053,-10.2227173,0.0477881,0.1574061,4.6326410,-2.9096723
44.5749867,-19.5642571,-10.0236621,0.0806553,0.1723003,4.5053464,-2.6914902
44.7748745,-19.5839365,-9.8244009,0.1168568,0.1921731,4.3843077,-2.3020044
44.9747623,-19.6112379,-9.6264388,0.1582357,0.2221091,4.2780683,-1.9408538
45.1746502,-19.6473285,-9.4297359,0.2056683,0.2516611,4.1864021,-1.5917020
45.3745380,-19.6932512,-9.2351789,0.2589005,0.2810595,4.1097006,-1.3555393
45.5744258,-19.7499965,-9.0435377,0.3175918,0.3041578,4.0432323,-1.1490894
45.7743137,-19.8182932,-8.8556765,0.3805031,0.3253659,3.9860192,-1.1150451
45.9742015,-19.8985795,-8.6726820,0.4467265,0.3363837,3.9297050,-1.0990657
46.1740893,-19.9910117,-8.4954482,0.5150880,0.3467127,3.8733966,-1.0784991
46.3739771,-20.0954639,-8.3249798,0.5843845,0.3469817,3.8173347,-1.2125891
46.5738650,-20.2115093,-8.1621457,0.6540073,0.3471840,3.7533026,-1.3558408
46.7737528,-20.3386187,-8.0076774,0.7229222,0.3427179,3.6803870,-1.5911889
46.9736406,-20.4761903,-7.8621237,0.7913696,0.3386148,3.5929277,-1.8492239
47.1735285,-20.6228929,-7.7266125,0.8586198,0.3363305,3.4885319,-2.1111144
47.3734163,-20.7795648,-7.6003568,0.9262999,0.3355961,3.3653949,-2.3964920
47.5733041,-20.9415979,-7.4868396,0.9933663,0.3449038,3.2199105,-2.6013366
47.7731920,-21.1155997,-7.3820412,1.0645038,0.3590885,3.0541566,-2.8220530
47.9730798,-21.2943605,-7.2914153,1.1398566,0.3937019,2.8635091,-2.8720436
48.1729676,-21.4759139,-7.2166742,1.2229286,0.4636401,2.6554682,-2.4912993
48.3728555,-21.6703656,-7.1571045,1.3285755,0.5994724,2.4608028,-0.7819811
48.5727433,-21.8672128,-7.1225687,1.4758660,0.9286517,2.3964418,-0.1824050
48.7726311,-22.0675377,-7.1263800,1.7146882,0.7549621,2.3811787,-0.1127992
48.9725190,-22.2502043,-7.1027911,1.3003693,1.0666822,2.3716909,-0.1127992
49.1724068,-22.4445953,-7.0702997,1.4928206,0.6951416,2.3621650,2.0093379
49.3722946,-22.6484363,-7.0670720,1.6097414,0.4642799,2.5264813,2.9084479
49.5721825,-22.8534116,-7.0839311,1.6926597,0.3645454,2.7469683,3.0978803
49.7720703,-23.0475205,-7.1144043,1.7588182,0.3165603,2.9638306,3.0430860
49.9719581,-23.2447527,-7.1583602,1.8205067,0.2893041,3.1624110,2.9061628
50.1718460,-23.4372358,-7.2131987,1.8752310,0.2607339,3.3410562,2.8656673
