# MPC Raceline Trajectory — generated by Raceline-Optimization
# Columns: s_m [m], x_m [m], y_m [m], psi_rad [rad], kappa_radpm [rad/m], vx_mps [m/s], ax_mps2 [m/s^2]
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
13.5986421,1.8003758,-1.9829564,-2.1685437,-0.0062488,10.0260984,3.2841715
13.7986221,1.9655722,-2.0955780,-2.1697849,-0.0061967,10.0913917,3.2578305
13.9986021,2.1307133,-2.2084621,-2.1710230,-0.0061724,10.1557466,3.2317008
14.1985822,2.2956802,-2.3215260,-2.1722515,-0.0061132,10.2191849,3.2057806
14.3985622,2.4604466,-2.4347489,-2.1734687,-0.0060662,10.2817277,3.1800684
14.5985422,2.6251594,-2.5482293,-2.1746777,-0.0060213,10.3433952,3.1545623
14.7985223,2.7897347,-2.6619075,-2.1758772,-0.0059737,10.4042070,3.1292609
14.9985023,2.9540844,-2.7757201,-2.1770668,-0.0059272,10.4641819,3.1041624
15.1984823,3.1183802,-2.8897837,-2.1782477,-0.0058814,10.5233381,3.0792652
15.3984623,3.2825614,-3.0040543,-2.1794196,-0.0058357,10.5816930,3.0545676
15.5984424,3.4465063,-3.1184446,-2.1805816,-0.0057900,10.6392637,3.0300682
15.7984224,3.6103960,-3.2330787,-2.1817351,-0.0057448,10.6960665,3.0057653
15.9984024,3.7741828,-3.3479214,-2.1828798,-0.0057000,10.7521172,2.9816573
16.1983825,3.9377338,-3.4628770,-2.1840148,-0.0056549,10.8074312,2.9577426
16.3983625,4.1012279,-3.5780691,-2.1851413,-0.0056104,10.8620232,2.9340198
16.5983425,4.2646220,-3.6934652,-2.1862592,-0.0055663,10.9159076,2.9104872
16.7983226,4.4277893,-3.8089737,-2.1873675,-0.0055218,10.9690983,2.8871434
16.9983026,4.5908973,-3.9247107,-2.1884675,-0.0054779,11.0216087,2.8639868
17.1982826,4.7539019,-4.0406431,-2.1895588,-0.0054343,11.0734520,2.8410159
17.3982627,4.9166949,-4.1566916,-2.1906408,-0.0053904,11.1246407,2.8182293
17.5982427,5.0794259,-4.2729606,-2.1917146,-0.0053469,11.1751873,2.7956254
17.7982227,5.2420459,-4.3894131,-2.1927797,-0.0053037,11.2251035,2.7732029
17.9982027,5.4044734,-4.5059887,-2.1938357,-0.0052603,11.2744011,2.7509602
18.1981828,5.5668355,-4.6227763,-2.1948835,-0.0052172,11.3230912,2.7288958
18.3981628,5.7290771,-4.7397343,-2.1959227,-0.0051744,11.3711848,2.7070085
18.5981428,5.8911472,-4.8568237,-2.1969529,-0.0051313,11.4186925,2.6852967
18.7981229,6.0531483,-4.9741164,-2.1979750,-0.0050886,11.4656247,2.6637590
18.9981029,6.2150188,-5.0915658,-2.1989884,-0.0050460,11.5119915,2.6423941
19.1980829,6.3767391,-5.2091556,-2.1999931,-0.0050033,11.5578025,2.6212005
19.3980630,6.5383863,-5.3269396,-2.2009895,-0.0049609,11.6030675,2.6001770
19.5980430,6.6998941,-5.4448676,-2.2019773,-0.0049185,11.6477956,2.5793220
19.7980230,6.8612717,-5.5629440,-2.2029566,-0.0048760,11.6919959,2.5586343
19.9980030,7.0225718,-5.6812053,-2.2039277,-0.0048339,11.7356772,2.5381126
20.1979831,7.1837262,-5.7995996,-2.2048901,-0.0047916,11.7788481,2.5177554
20.3979631,7.3447677,-5.9181486,-2.2058440,-0.0047494,11.8215170,2.4975615
20.5979431,7.5057272,-6.0368732,-2.2067898,-0.0047075,11.8636921,2.4775296
20.7979232,7.6665381,-6.1557222,-2.2077269,-0.0046653,11.9053812,2.4576584
20.9979032,7.8272499,-6.2747298,-2.2086556,-0.0046233,11.9465923,2.4379465
21.1978832,7.9878749,-6.3939033,-2.2095761,-0.0045815,11.9873328,2.4183927
21.3978633,8.1483530,-6.5131960,-2.2104880,-0.0045394,12.0276103,2.3989958
21.5978433,8.3087412,-6.6326479,-2.2113917,-0.0044975,12.0674319,2.3797544
21.7978233,8.4690350,-6.7522539,-2.2122870,-0.0044558,12.1068046,2.3606674
21.9978034,8.6291940,-6.8719817,-2.2131738,-0.0044138,12.1457355,2.3417335
22.1977834,8.7892644,-6.9918636,-2.2140523,-0.0043720,12.1842312,2.3229514
22.3977634,8.9492322,-7.1118871,-2.2149225,-0.0043303,12.2222984,2.3043199
22.5977434,9.1090843,-7.2320403,-2.2157842,-0.0042884,12.2599435,2.2858379
22.7977235,9.2688428,-7.3523377,-2.2166377,-0.0042467,12.2971728,2.2675042
22.9977035,9.4284962,-7.4727686,-2.2174828,-0.0042050,12.3339924,2.2493175
23.1976835,9.5880473,-7.5933329,-2.2183195,-0.0041631,12.3704085,2.2312766
23.3976636,9.7474997,-7.7140313,-2.2191479,-0.0041214,12.4064269,2.2133804
23.5976436,9.9068508,-7.8348598,-2.2199679,-0.0040796,12.4420534,2.1956278
