-7.7931369,6.9233588,6.3793112
-7.7969170,6.7257442,6.4852829
-7.7964166,6.5264585,6.4080008
-7.7860906,6.3262249,6.3768146
-7.7640519,6.1258186,6.3513945
-7.7305887,5.9295188,6.3258723
-7.6856586,5.7354605,6.3067702
-7.6289913,5.5426812,6.2948252
-7.5612665,5.3536999,6.2862544
-7.4833635,5.1703727,6.2793543
-7.3944216,4.9904773,6.2767475
-7.2957392,4.8165816,6.2764703
-7.1875565,4.6485985,6.2817977
-7.0698438,4.4860401,6.2964600
-6.9446257,4.3309320,6.3203986
-6.8113380,4.1815393,6.3627374
-6.6715535,4.0385626,6.4235586
-6.5261119,3.9014929,6.5076139
-6.3754974,3.7693150,6.6187013
-6.2216593,3.6421167,6.7509730
-6.0644034,3.5179933,6.8796716
-5.9056060,3.3967607,7.0050022
-5.7452911,3.2769311,7.1271504
-5.5843846,3.1581546,7.2462849
-5.4229386,3.0399796,7.3625596
-5.2612279,2.9222832,7.4761151
-5.0992039,2.8047990,7.5870809
-4.9373203,2.6876123,7.6955760
-4.7750923,2.5701344,7.8017103
-4.6132947,2.4527333,7.9055857
-4.4514407,2.3349655,8.0072967
-4.2897078,2.2170514,8.1069312
-4.1283696,2.0993534,8.2045713
-3.9663325,1.9812888,8.3002935
-3.8051093,1.8641612,8.3941696
-3.6426629,1.7466460,8.4862668
-3.4805197,1.6298649,8.5766483
-3.3181830,1.5134530,8.6653736
-3.1551513,1.3970587,8.7524986
-2.9924702,1.2814286,8.8380763
-2.8290723,1.1658010,8.9221567
-2.6655324,1.0505805,9.0047871
-2.5021890,0.9359972,9.0860123
-2.3379391,0.8212693,9.1658749
-2.1737967,0.7070958,9.2444154
-2.0097054,0.5934211,9.3216721
-1.8448386,0.4796575,9.3976817
-1.6800853,0.3664006,9.4724791
-1.5153313,0.2535489,9.5460975
-1.3499612,0.1406579,9.6185688
-1.1846586,0.0281688,9.6899234
-1.0193547,-0.0839950,9.7601902
-0.8536054,-0.1961648,9.8293972
-0.6878700,-0.3080622,9.8975710
-0.5221270,-0.4197369,9.9647372
-0.3561532,-0.5313756,10.0309204
-0.1901416,-0.6428861,10.0961441
-0.0241336,-0.7542800,10.1604310
0.1419514,-0.8656520,10.2238029
0.3080554,-0.9770044,10.2862808
0.4741340,-1.0883499,10.3478849
0.6402189,-1.1997522,10.4086347
0.8062157,-1.3111912,10.4685489
0.9721610,-1.4227346,10.5276457
1.1380966,-1.5344538,10.5859426
1.3038119,-1.6462497,10.6434564
1.4694347,-1.7582530,10.7002035
1.6350224,-1.8705304,10.7561996
1.8003758,-1.9829564,10.8114601
1.9655722,-2.0955780,10.8659997
2.1307133,-2.2084621,10.9198328
2.2956802,-2.3215260,10.9729731
2.4604466,-2.4347489,11.0254342
2.6251594,-2.5482293,11.0772290
2.7897347,-2.6619075,11.1283703
2.9540844,-2.7757201,11.1788702
3.1183802,-2.8897837,11.2287407
3.2825614,-3.0040543,11.2779933
3.4465063,-3.1184446,11.3266392
3.6103960,-3.2330787,11.3746895
3.7741828,-3.3479214,11.4221547
3.9377338,-3.4628770,11.4690450
4.1012279,-3.5780691,11.5153707
4.2646220,-3.6934652,11.5611414
4.4277893,-3.8089737,11.6063666
4.5908973,-3.9247107,11.6510557
4.7539019,-4.0406431,11.6952177
4.9166949,-4.1566916,11.7388612
5.0794259,-4.2729606,11.7819951
5.2420459,-4.3894131,11.8246275
5.4044734,-4.5059887,11.8667666
5.5668355,-4.6227763,11.9084204
5.7290771,-4.7397343,11.9495967
5.8911472,-4.8568237,11.9903030
6.0531483,-4.9741164,12.0305468
6.2150188,-5.0915658,12.0703352
6.3767391,-5.2091556,12.1096753
6.5383863,-5.3269396,12.1485741
6.6998941,-5.4448676,12.1870381
6.8612717,-5.5629440,12.2250741
7.0225718,-5.6812053,12.2626885
7.1837262,-5.7995996,12.2998875
7.3447677,-5.9181486,12.3366774
7.5057272,-6.0368732,12.3730641
7.6665381,-6.1557222,12.4090535
7.8272499,-6.2747298,12.4446515
7.9878749,-6.3939033,12.4798636
8.1483530,-6.5131960,12.5146954
8.3087412,-6.6326479,12.5491523
8.4690350,-6.7522539,12.5832396
8.6291940,-6.8719817,12.6169626
8.7892644,-6.9918636,12.6503262
