s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.0000000,8.2349256,3.0406583,1.2081099,-0.5613629,2.9663911,0.8838404,0.4912,0.5922
0.0499985,8.1882943,3.0590969,1.1806126,-0.5349773,2.9812510,1.0669658,0.5097,0.5881
0.0999970,8.1422924,3.0787271,1.1545534,-0.5067607,2.9990917,1.2615428,0.5281,0.5841
0.1499954,8.0968829,3.0994787,1.1299873,-0.4770900,3.0200499,1.4657030,0.5465,0.5800
0.1999939,8.0520148,3.1212885,1.1069487,-0.4464627,3.0442187,1.6766697,0.5655,0.5765
0.2499924,8.0076086,3.1441104,1.0854370,-0.4149724,3.0716330,1.8955616,0.5957,0.5830
0.2999909,7.9636551,3.1678636,1.0655207,-0.3820926,3.1023345,2.1295531,0.6258,0.5896
0.3499893,7.9200919,3.1924922,1.0472437,-0.3482260,3.1364675,2.3770771,0.6560,0.5961
0.3999878,7.8770466,3.2178269,1.0307044,-0.3141052,3.1741343,2.6333082,0.6856,0.6010
0.4499863,7.8345055,3.2437710,1.0158934,-0.2804253,3.2153463,2.8935152,0.7110,0.5919
0.4999848,7.7921880,3.2703984,1.0027095,-0.2470239,3.2600298,3.1615564,0.7363,0.5828
0.5499832,7.7500494,3.2976468,0.9911440,-0.2140231,3.3081627,3.4382804,0.7616,0.5737
0.5999817,7.7084282,3.3251976,0.9812681,-0.1817995,3.3597259,3.7215329,0.7857,0.5654
0.6499802,7.6671164,3.3530858,0.9729940,-0.1503217,3.4146595,4.0134420,0.8032,0.5609
0.6999787,7.6258552,3.3813932,0.9662476,-0.1194480,3.4729284,4.3174399,0.8207,0.5564
0.7499771,7.5846056,3.4100575,0.9610109,-0.0891748,3.5345385,4.6354149,0.8382,0.5519
0.7999756,7.5437770,3.4387007,0.9572989,-0.0597931,3.5995125,4.9654688,0.8507,0.5439
0.8499741,7.5030224,3.4674738,0.9550351,-0.0310652,3.6678361,5.0302202,0.8435,0.5220
0.8999726,7.4621761,3.4964069,0.9541889,-0.0028394,3.7357768,5.0201331,0.8363,0.5002
0.9499710,7.4212064,3.5254363,0.9547460,0.0249473,3.8023712,5.0100663,0.8290,0.4783
0.9999695,7.3804623,3.5542296,0.9566755,0.0523727,3.8676889,4.9165754,0.8207,0.4596
1.0499680,7.3396072,3.5829416,0.9599697,0.0795174,3.9307328,4.4615637,0.8092,0.4510
1.0999665,7.2985468,3.6115547,0.9646244,0.1064566,3.9870795,3.9888939,0.7977,0.4425
1.1499650,7.2572547,3.6400034,0.9706351,0.1332582,4.0367908,3.5016817,0.7861,0.4339
1.1999634,7.2159360,3.6680657,0.9779661,0.1603459,4.0799311,2.9971005,0.7745,0.4272
1.2499619,7.1743704,3.6958119,0.9866585,0.1875259,4.1164959,2.4824564,0.7627,0.4259
1.2999604,7.1325051,3.7231940,0.9967215,0.2148120,4.1465379,1.9617749,0.7509,0.4245
1.3499589,7.0903181,3.7501435,1.0081612,0.2422474,4.1701257,-1.0097256,0.7391,0.4231
1.3999573,7.0478608,3.7765482,1.0208782,0.2660812,4.1580018,-1.3751816,0.7262,0.4220
1.4499558,7.0050543,3.8023867,1.0347719,0.2896992,4.1414327,-0.9952229,0.7105,0.4215
1.4999543,6.9618756,3.8276037,1.0498533,0.3135553,4.1294002,-0.6038920,0.6948,0.4209
1.5499528,6.9183101,3.8521388,1.0661320,0.3376293,4.1220818,-0.5117898,0.6792,0.4204
1.5999512,6.8743413,3.8759392,1.0832193,0.3440255,4.1158694,-0.4542451,0.6643,0.4217
1.6499497,6.8299724,3.8989785,1.1005259,0.3483026,4.1103476,-0.3960329,0.6520,0.4283
1.6999482,6.7852077,3.9212424,1.1180456,0.3525274,4.1055274,-0.3373320,0.6398,0.4349
1.7499467,6.7400506,3.9427171,1.1357776,0.3566838,4.1014172,-0.3373320,0.6275,0.4415
1.7999451,6.6945591,3.9633664,1.1535980,0.3562312,4.0973029,-0.3170264,0.6148,0.4460
1.8499436,6.6486928,3.9832090,1.1713738,0.3551305,4.0934325,-0.2866533,0.6009,0.4426
1.8999421,6.6024524,4.0022463,1.1891023,0.3538975,4.0899297,-0.2552746,0.5869,0.4393
1.9499406,6.5558449,4.0204765,1.2067802,0.3525364,4.0868079,-0.2229952,0.5730,0.4360
1.9999390,6.5090458,4.0378382,1.2242916,0.3488390,4.0840788,-0.1530151,0.5592,0.4325
2.0499375,6.4619168,4.0543943,1.2416156,0.3447518,4.0822051,-0.0792603,0.5461,0.4281
2.0999360,6.4144462,4.0701568,1.2587553,0.3405478,4.0812342,-0.0063453,0.5330,0.4238
2.1499345,6.3666419,4.0851304,1.2757076,0.3362421,4.0811565,0.0655984,0.5199,0.4194
2.1999329,6.3187980,4.0992409,1.2921695,0.3226494,4.0819601,0.2897484,0.5074,0.4164
2.2499314,6.2706853,4.1125925,1.3079080,0.3077648,4.0855075,0.5282633,0.5030,0.4303
2.2999299,6.2222775,4.1252274,1.3229340,0.2929325,4.0919673,0.7593013,0.4986,0.4442
2.3499284,6.1735880,4.1371757,1.3372500,0.2781942,4.1012345,0.9834362,0.4943,0.4582
2.3999269,6.1249863,4.1483888,1.3507036,0.2607926,4.1132062,1.2485163,0.4899,0.4721
2.4499253,6.0762062,4.1589764,1.3632759,0.2429815,4.1283547,1.5170127,0.4886,0.4730
2.4999238,6.0271890,4.1689938,1.3749906,0.2253592,4.1466866,1.7801265,0.4874,0.4733
2.5499223,5.9779478,4.1784793,1.3858540,0.2079485,4.1680951,2.0389177,0.4862,0.4736
2.5999208,5.9288441,4.1874095,1.3957899,0.1900382,4.1924816,2.3072391,0.4851,0.4738
2.6499192,5.8796610,4.1958731,1.4048253,0.1721023,4.2199075,2.5781627,0.4756,0.4721
2.6999177,5.8302938,4.2039319,1.4129899,0.1543896,4.2503444,2.8486105,0.4641,0.4698
2.7499162,5.7807536,4.2116262,1.4202907,0.1369038,4.2837227,3.1197902,0.4526,0.4676
2.7999147,5.7313329,4.2189556,1.4266867,0.1188479,4.3199826,3.4077874,0.4411,0.4653
2.8499131,5.6819287,4.2259831,1.4321597,0.1005458,4.3592451,3.7082505,0.4318,0.4667
2.8999116,5.6323864,4.2327765,1.4367343,0.0824588,4.4015715,4.0139450,0.4238,0.4703
2.9499101,5.5827163,4.2393787,1.4404171,0.0645773,4.4469331,4.3264083,0.4158,0.4740
2.9999086,5.5331172,4.2458082,1.4432141,0.0477011,4.4953133,4.6308265,0.4078,0.4776
3.0499070,5.4836206,4.2521043,1.4451990,0.0318917,4.5465272,4.8854764,0.4036,0.4817
3.0999055,5.4340224,4.2583331,1.4464010,0.0162300,4.5999394,4.8756796,0.4051,0.4865
3.1499040,5.3843283,4.2645330,1.4468245,0.0007120,4.6526332,4.8659025,0.4065,0.4912
3.1999025,5.3346444,4.2707296,1.4464889,-0.0126997,4.7046330,4.8561450,0.4080,0.4960
3.2499009,5.2851339,4.2769355,1.4456478,-0.0210003,4.7559616,4.8464070,0.4099,0.5002
3.2998994,5.2355505,4.2832032,1.4443919,-0.0292452,4.8066409,4.8366886,0.4147,0.5007
3.3498979,5.1859033,4.2895529,1.4427227,-0.0374444,4.8566914,4.6437716,0.4196,0.5012
3.3998964,5.1362155,4.2960024,1.4406419,-0.0456460,4.9042649,4.4198075,0.4244,0.5017
3.4498949,5.0867066,4.3025440,1.4381429,-0.0544381,4.9491192,4.1754202,0.4293,0.5022
3.4998933,5.0371689,4.3092265,1.4352017,-0.0632446,4.9911232,3.9249364,0.4280,0.5001
3.5498918,4.9876182,4.3160703,1.4318172,-0.0720849,5.0302875,3.6685487,0.4257,0.4977
3.5998903,4.9380708,4.3230959,1.4279875,-0.0809781,5.0666198,3.4064564,0.4233,0.4953
3.6498888,4.8885839,4.3303167,1.4237814,-0.0866429,5.1001246,3.2246924,0.4210,0.4928
3.6998872,4.8391352,4.3377508,1.4193245,-0.0916235,5.1316401,3.0591291,0.4190,0.4932
3.7498857,4.7897241,4.3454110,1.4146178,-0.0966489,5.1613597,2.8910914,0.4175,0.4962
3.7998842,4.7403590,4.3533084,1.4096594,-0.1017232,5.1892904,2.7207087,0.4159,0.4993
3.8498827,4.6910129,4.3614593,1.4045643,-0.0984447,5.2154383,2.7767564,0.4143,0.5023
3.8998811,4.6416990,4.3698541,1.3998777,-0.0889336,5.2419905,3.0052017,0.4136,0.5059
3.9498796,4.5924439,4.3784645,1.3956684,-0.0794286,5.2705764,-3.7695598,0.4168,0.5126
3.9998781,4.5432478,4.3872660,1.3919363,-0.0699251,5.2346949,-4.6318577,0.4200,0.5193
4.0498766,4.4940670,4.3962422,1.3886881,-0.0592340,5.1902658,-4.9430856,0.4232,0.5259
4.0998750,4.4448574,4.4053739,1.3860506,-0.0461537,5.1424280,-5.3088651,0.4264,0.5326
4.1498735,4.3957054,4.4146125,1.3840701,-0.0330406,5.0905496,-5.6630120,0.4355,0.5412
4.1998720,4.3466093,4.4239245,1.3827474,-0.0198848,5.0346213,-6.0042803,0.4461,0.5502
4.2498705,4.2975456,4.4332808,1.3820837,-0.0067569,4.9746358,-6.3290711,0.4567,0.5592
4.2998689,4.2483466,4.4426804,1.3820578,0.0057344,4.9106124,-6.0412562,0.4672,0.5682
4.3498674,4.1992002,4.4520553,1.3826586,0.0182986,4.8487119,-5.7501195,0.4848,0.5762
4.3998659,4.1501060,4.4613738,1.3838886,0.0309486,4.7890513,-5.4706710,0.5108,0.5830
4.4498644,4.1010634,4.4706039,1.3857507,0.0436969,4.7315919,-5.2266202,0.5367,0.5898
4.4998628,4.0518008,4.4797643,1.3882366,0.0554236,4.6760363,-4.9941017,0.5627,0.5965
4.5498613,4.0025582,4.4887796,1.3913037,0.0671330,4.6223285,-4.7692388,0.5864,0.6013
4.5998598,3.9533692,4.4976146,1.3949540,0.0789725,4.5704498,-4.5512334,0.5930,0.5914
4.6498583,3.9042346,4.5062398,1.3991917,0.0909536,4.5203874,-4.3633757,0.5997,0.5814
4.6998568,3.8548713,4.5146743,1.4040290,0.1018946,4.4718651,-4.1900231,0.6063,0.5715
4.7498552,3.8054493,4.5228594,1.4093983,0.1125002,4.4247698,-4.0206571,0.6130,0.5615
4.7998537,3.7560886,4.5307491,1.4152902,0.1232704,4.3791020,-3.8548096,0.6181,0.5475
4.8498522,3.7067920,4.5383177,1.4217103,0.1342136,4.3348663,-3.7125221,0.6228,0.5325
4.8998507,3.6572881,4.5455788,1.4286883,0.1442391,4.2918323,-3.5885799,0.6275,0.5174
4.9498491,3.6076376,4.5524954,1.4361520,0.1535690,4.2498209,-3.4663962,0.6322,0.5024
4.9998476,3.5580635,4.5590132,1.4440675,0.1630790,4.2088417,-3.3457539,0.6300,0.4926
5.0498461,3.5085701,4.5651108,1.4524407,0.1727738,4.1689067,-3.2428106,0.6221,0.4871
5.0998446,3.4589086,4.5707947,1.4613131,0.1817132,4.1298320,-3.1608529,0.6141,0.4817
5.1498430,3.4090257,4.5760446,1.4706261,0.1896618,4.0913856,-3.0796657,0.6062,0.4762
5.1998415,3.3592406,4.5808066,1.4803138,0.1977815,4.0535761,-2.9992142,0.5975,0.4713
5.2498400,3.3095589,4.5850639,1.4903819,0.2060730,4.0164122,-2.9322722,0.5872,0.4675
5.2998385,3.2597506,4.5888165,1.5008787,0.2137434,3.9797423,-2.8863952,0.5768,0.4638
5.3498369,3.2096807,4.5920505,1.5117667,0.2202889,3.9433131,-2.8413242,0.5665,0.4600
5.3998354,3.1597345,4.5947235,1.5229515,0.2269682,3.9071210,-2.7971471,0.5550,0.4579
5.4498339,3.1099180,4.5968235,1.5344376,0.2337781,3.8711611,-2.7639088,0.5372,0.4643
