# x_m,y_m,w_tr_right_m,w_tr_left_m
1.8800,0.3148,0.5392,0.5392
1.9600,0.3455,0.5462,0.5462
2.0400,0.3766,0.5531,0.5531
2.1212,0.4208,0.5828,0.5828
2.1912,0.4877,0.6227,0.6227
2.2470,0.5700,0.6308,0.6308
2.2941,0.6500,0.5962,0.5962
2.3377,0.7300,0.5609,0.5609
2.3753,0.8100,0.5423,0.5423
2.3995,0.8900,0.5419,0.5419
2.4194,0.9700,0.5406,0.5406
2.4400,1.0500,0.5341,0.5341
2.4561,1.1300,0.5299,0.5299
2.4650,1.2100,0.5249,0.5249
2.4740,1.2900,0.5122,0.5122
2.4815,1.3700,0.5062,0.5062
2.4917,1.4500,0.5107,0.5107
2.5061,1.5300,0.5204,0.5204
2.5201,1.6100,0.5301,0.5301
2.5374,1.6900,0.5472,0.5472
2.5486,1.7700,0.5586,0.5586
2.5501,1.8500,0.5601,0.5601
2.5510,1.9300,0.5610,0.5610
2.5522,2.0100,0.5622,0.5622
2.5487,2.0900,0.5587,0.5587
2.5425,2.1700,0.5525,0.5525
2.5392,2.2500,0.5492,0.5492
2.5400,2.3300,0.5500,0.5500
2.5400,2.4100,0.5500,0.5500
2.5400,2.4900,0.5500,0.5500
2.5400,2.5700,0.5500,0.5500
2.5400,2.6500,0.5500,0.5500
2.5400,2.7300,0.5500,0.5500
2.5400,2.8100,0.5500,0.5500
2.5400,2.8900,0.5500,0.5500
2.5400,2.9700,0.5500,0.5500
2.5400,3.0500,0.5500,0.5500
2.5400,3.1300,0.5500,0.5500
2.5400,3.2100,0.5500,0.5500
2.5400,3.2900,0.5500,0.5500
2.5400,3.3700,0.5500,0.5500
2.5400,3.4500,0.5500,0.5500
2.5399,3.5300,0.5499,0.5499
2.5446,3.6100,0.5546,0.5546
2.5497,3.6900,0.5597,0.5597
2.5500,3.7700,0.5600,0.5600
2.5500,3.8500,0.5600,0.5600
2.5500,3.9300,0.5597,0.5597
2.5500,4.0100,0.5604,0.5604
2.5500,4.0900,0.5682,0.5682
2.5500,4.1700,0.5796,0.5796
2.5499,4.2500,0.5878,0.5878
2.5550,4.3300,0.5853,0.5853
2.5596,4.4100,0.5804,0.5804
2.5553,4.4900,0.5847,0.5847
2.5514,4.5700,0.5886,0.5886
2.5474,4.6500,0.5926,0.5926
2.5425,4.7300,0.5975,0.5975
