# x_m,y_m,w_tr_right_m,w_tr_left_m
-3.2500,0.2030,0.5214,0.5214
-3.1700,0.2083,0.4899,0.4899
-3.0900,0.2148,0.4663,0.4663
-3.0100,0.2249,0.4472,0.4472
-2.9300,0.2351,0.4343,0.4343
-2.8500,0.2412,0.4288,0.4288
-2.7700,0.2513,0.4187,0.4187
-2.6900,0.2675,0.4025,0.4025
-2.6100,0.2829,0.3864,0.3864
-2.5300,0.2985,0.3754,0.3754
-2.4500,0.3079,0.3801,0.3801
-2.3700,0.3108,0.3890,0.3890
-2.2900,0.3099,0.3814,0.3814
-2.2100,0.3146,0.3703,0.3703
-2.1300,0.3189,0.3681,0.3681
-2.0500,0.3219,0.3713,0.3713
-1.9700,0.3294,0.3862,0.3862
-1.8900,0.3371,0.4090,0.4090
-1.8100,0.3445,0.4248,0.4248
-1.7300,0.3547,0.4317,0.4317
-1.6500,0.3576,0.4426,0.4426
-1.5700,0.3519,0.4585,0.4585
-1.4900,0.3494,0.4696,0.4696
-1.4100,0.3526,0.4680,0.4680
-1.3300,0.3525,0.4675,0.4675
-1.2500,0.3499,0.4704,0.4704
-1.1700,0.3454,0.4704,0.4704
-1.0900,0.3403,0.4703,0.4703
-1.0100,0.3400,0.4698,0.4698
-0.9300,0.3400,0.4700,0.4700
-0.8500,0.3400,0.4700,0.4700
-0.7700,0.3403,0.4703,0.4703
-0.6900,0.3447,0.4747,0.4747
-0.6100,0.3506,0.4806,0.4806
-0.5300,0.3597,0.4897,0.4897
-0.4500,0.3700,0.5005,0.5005
-0.3700,0.3619,0.4898,0.4898
-0.2900,0.3264,0.4490,0.4490
-0.2100,0.2867,0.4062,0.4062
-0.1300,0.2652,0.3852,0.3852
-0.0500,0.2594,0.3801,0.3801
0.0300,0.2686,0.3878,0.3878
0.1100,0.2786,0.3853,0.3853
0.1900,0.2808,0.3733,0.3733
0.2700,0.2800,0.3703,0.3703
0.3500,0.2800,0.3672,0.3672
0.4300,0.2800,0.3614,0.3614
0.5100,0.2795,0.3591,0.3591
0.5900,0.2839,0.3639,0.3639
0.6700,0.2893,0.3692,0.3692
0.7500,0.2904,0.3698,0.3698
0.8300,0.2900,0.3721,0.3721
0.9100,0.2893,0.3861,0.3861
0.9900,0.2928,0.4138,0.4138
1.0700,0.2989,0.4433,0.4433
1.1500,0.3047,0.4750,0.4750
1.2300,0.3107,0.5143,0.5143
1.3100,0.3168,0.5585,0.5585
1.3900,0.3239,0.6079,0.6079
1.4700,0.3287,0.6587,0.6587
1.5500,0.3300,0.7102,0.7102
1.6300,0.3332,0.7637,0.7637
1.7100,0.3387,0.8224,0.8224
1.7900,0.3407,0.8831,0.8831
1.8700,0.3400,0.9473,0.9473
1.9500,0.3389,1.0002,1.0002
2.0300,0.3412,1.0099,1.0099
2.1100,0.3611,0.9994,0.9994
2.1900,0.3749,0.9861,0.9861
2.2700,0.3565,0.9411,0.9411
2.3500,0.3326,0.8889,0.8889
2.4300,0.3082,0.8405,0.8405
2.5100,0.2821,0.7923,0.7923
2.5900,0.2505,0.7406,0.7406
2.6700,0.2113,0.6874,0.6874
2.7500,0.1682,0.6385,0.6385
2.8300,0.1248,0.5945,0.5945
2.9100,0.0876,0.5573,0.5573
2.9900,0.0576,0.5277,0.5277
3.0700,0.0348,0.5099,0.5099
3.1500,0.0140,0.5008,0.5008
3.2300,-0.0009,0.5051,0.5051
3.3100,-0.0120,0.5220,0.5220
3.3900,-0.0219,0.5380,0.5380
3.4700,-0.0299,0.5329,0.5329
3.5500,-0.0395,0.5153,0.5153
3.6300,-0.0526,0.5050,0.5050
3.7100,-0.0660,0.5018,0.5018
3.7900,-0.0799,0.5096,0.5096
3.8700,-0.0936,0.5229,0.5229
3.9500,-0.1095,0.5422,0.5422
4.0300,-0.1291,0.5686,0.5686
4.1100,-0.1502,0.5860,0.5860
4.1900,-0.1791,0.6024,0.6024
4.2700,-0.2047,0.6152,0.6152
4.3500,-0.2275,0.6199,0.6199
4.4300,-0.2506,0.6221,0.6221
4.5100,-0.2742,0.6195,0.6195
4.5900,-0.2912,0.6108,0.6108
4.6700,-0.2997,0.6002,0.6002
4.7500,-0.3062,0.5969,0.5969
4.8300,-0.3137,0.5989,0.5989
4.9100,-0.3187,0.5992,0.5992
4.9900,-0.3207,0.5935,0.5935
5.0700,-0.3200,0.5897,0.5897
5.1500,-0.3192,0.5891,0.5891
5.2300,-0.3219,0.5919,0.5919
5.3100,-0.3275,0.5975,0.5975
5.3900,-0.3303,0.6003,0.6003
5.4700,-0.3331,0.6028,0.6028
5.5500,-0.3452,0.6157,0.6157
5.6300,-0.3558,0.6311,0.6311
5.7100,-0.3659,0.6457,0.6457
5.7900,-0.3759,0.6561,0.6561
5.8700,-0.3856,0.6652,0.6652
5.9500,-0.3950,0.6766,0.6766
6.0300,-0.4070,0.6977,0.6977
6.1100,-0.4225,0.7295,0.7295
6.1900,-0.4370,0.7641,0.7641
6.2700,-0.4523,0.8027,0.8027
6.3500,-0.4714,0.8424,0.8424
6.4300,-0.4938,0.8796,0.8796
6.5100,-0.5121,0.9146,0.9146
6.5900,-0.4956,0.9169,0.9169
6.6700,-0.4394,0.8808,0.8808
6.7500,-0.3761,0.8459,0.8459
6.8300,-0.3325,0.8332,0.8332
6.9100,-0.2992,0.8296,0.8296
6.9900,-0.2656,0.8246,0.8246
7.0700,-0.2230,0.8098,0.8098
7.1500,-0.1823,0.8000,0.8000
7.2300,-0.1516,0.8048,0.8048
7.3100,-0.1271,0.8095,0.8095
7.3900,-0.1052,0.8014,0.8014
7.4700,-0.0803,0.7877,0.7877
7.5500,-0.0459,0.7882,0.7882
7.6300,-0.0015,0.8074,0.8074
7.7118,0.0510,0.8425,0.8425
7.7871,0.1120,0.8756,0.8756
7.8391,0.1889,0.8826,0.8826
7.8749,0.2700,0.8683,0.8683
7.9059,0.3500,0.8547,0.8547
7.9236,0.4300,0.8373,0.8373
7.9379,0.5100,0.8229,0.8229
7.9528,0.5900,0.8155,0.8155
7.9678,0.6700,0.8153,0.8153
7.9803,0.7500,0.8212,0.8212
7.9912,0.8300,0.8309,0.8309
8.0015,0.9100,0.8412,0.8412
8.0081,0.9900,0.8498,0.8498
7.9921,1.0700,0.8424,0.8424
7.9559,1.1500,0.8215,0.8215
7.9237,1.2300,0.8102,0.8102
7.8987,1.3100,0.8142,0.8142
7.8766,1.3900,0.8181,0.8181
7.8567,1.4700,0.8081,0.8081
7.8331,1.5500,0.7829,0.7829
7.7972,1.6300,0.7486,0.7486
7.7523,1.7100,0.7128,0.7128
7.7088,1.7900,0.6871,0.6871
7.6706,1.8700,0.6750,0.6750
7.6413,1.9500,0.6811,0.6811
7.6140,2.0300,0.7000,0.7000
7.5800,2.1108,0.7199,0.7199
7.5254,2.1898,0.7303,0.7303
7.4510,2.2536,0.7298,0.7298
7.3700,2.3113,0.7355,0.7355
7.2900,2.3747,0.7506,0.7506
7.2100,2.4334,0.7707,0.7707
7.1300,2.4879,0.7863,0.7863
7.0500,2.5426,0.7979,0.7979
6.9700,2.5976,0.8037,0.8037
6.8900,2.6526,0.7999,0.7999
6.8100,2.6933,0.7957,0.7957
6.7289,2.7254,0.7944,0.7944
6.6506,2.7668,0.8028,0.8028
6.5940,2.8313,0.8235,0.8235
6.5383,2.8910,0.8410,0.8410
6.4612,2.9348,0.8484,0.8484
6.3800,2.9803,0.8442,0.8442
6.3000,3.0326,0.8273,0.8273
6.2200,3.0838,0.7980,0.7980
6.1400,3.1254,0.7688,0.7688
6.0509,3.1674,0.7504,0.7504
5.9636,3.2141,0.7327,0.7327
