# x_m,y_m,w_tr_right_m,w_tr_left_m
5.0200,2.8099,0.4597,0.4597
4.9400,2.8297,0.4406,0.4406
4.8600,2.8307,0.4394,0.4394
4.7800,2.8300,0.4400,0.4400
4.7000,2.8300,0.4400,0.4400
4.6200,2.8300,0.4400,0.4400
4.5400,2.8300,0.4400,0.4400
4.4600,2.8292,0.4389,0.4389
4.3800,2.8319,0.4416,0.4416
4.3000,2.8367,0.4527,0.4527
4.2200,2.8452,0.4795,0.4795
4.1400,2.8428,0.5054,0.5054
4.0600,2.8255,0.5238,0.5238
3.9800,2.7928,0.5399,0.5399
3.9000,2.7382,0.5459,0.5459
3.8196,2.6630,0.5321,0.5321
3.7396,2.5875,0.5195,0.5195
3.6679,2.5108,0.5169,0.5169
3.6153,2.4300,0.5117,0.5117
3.5751,2.3500,0.5090,0.5090
3.5398,2.2700,0.5095,0.5095
3.5045,2.1900,0.5103,0.5103
3.4667,2.1100,0.5163,0.5163
3.4374,2.0300,0.5182,0.5182
3.4086,1.9500,0.5225,0.5225
3.3842,1.8700,0.5270,0.5270
3.3543,1.7900,0.5399,0.5399
3.3214,1.7100,0.5615,0.5615
3.2910,1.6300,0.5868,0.5868
3.2659,1.5500,0.5949,0.5949
3.2466,1.4700,0.5844,0.5844
3.2285,1.3900,0.5758,0.5758
3.1999,1.3100,0.5826,0.5826
3.1610,1.2300,0.6049,0.6049
3.1198,1.1500,0.6417,0.6417
3.0720,1.0700,0.6816,0.6816
3.0130,0.9900,0.7043,0.7043
2.9412,0.9088,0.7102,0.7102
2.8631,0.8325,0.7088,0.7088
2.7911,0.7685,0.7096,0.7096
2.7179,0.7049,0.7139,0.7139
2.6408,0.6373,0.7099,0.7099
2.5600,0.5807,0.7012,0.7012
2.4800,0.5331,0.7000,0.7000
2.4000,0.4863,0.6968,0.6968
2.3200,0.4439,0.6904,0.6904
2.2400,0.4067,0.6728,0.6728
2.1600,0.3694,0.6406,0.6406
2.0800,0.3396,0.6096,0.6096
2.0000,0.3153,0.5853,0.5853
1.9200,0.2866,0.5566,0.5566
1.8400,0.2596,0.5293,0.5293
