# x_m,y_m,w_tr_right_m,w_tr_left_m
3.0818,6.9990,0.6752,0.6752
3.0283,6.9284,0.6599,0.6599
2.9534,6.8647,0.6309,0.6309
2.8914,6.7915,0.6098,0.6098
2.8294,6.7093,0.5901,0.5901
2.7508,6.6303,0.5607,0.5607
2.6692,6.5680,0.5479,0.5479
2.5909,6.5076,0.5556,0.5556
2.5264,6.4308,0.5581,0.5581
2.4701,6.3492,0.5638,0.5638
2.4011,6.2812,0.5818,0.5818
2.3246,6.2144,0.6128,0.6128
2.2497,6.1526,0.6371,0.6371
2.1700,6.1172,0.6481,0.6481
2.0900,6.1001,0.6477,0.6477
2.0100,6.0902,0.6398,0.6398
1.9300,6.0903,0.6255,0.6255
1.8500,6.0852,0.6248,0.6248
1.7700,6.0796,0.6300,0.6300
1.6900,6.0906,0.6192,0.6192
1.6100,6.1071,0.6073,0.6073
1.5300,6.1122,0.6166,0.6166
1.4500,6.1182,0.6377,0.6377
1.3700,6.1264,0.6444,0.6444
1.2900,6.1338,0.6341,0.6341
1.2100,6.1458,0.6310,0.6310
1.1300,6.1607,0.6357,0.6357
1.0500,6.1776,0.6378,0.6378
0.9700,6.1872,0.6306,0.6306
0.8900,6.1786,0.6111,0.6111
0.8100,6.1583,0.5875,0.5875
0.7300,6.1416,0.5750,0.5750
0.6500,6.1257,0.5732,0.5732
0.5700,6.1087,0.5826,0.5826
0.4900,6.0948,0.6028,0.6028
0.4100,6.0742,0.6149,0.6149
0.3300,6.0391,0.6079,0.6079
0.2500,6.0050,0.6028,0.6028
0.1700,5.9870,0.5980,0.5980
0.0900,5.9737,0.5859,0.5859
0.0100,5.9453,0.5897,0.5897
-0.0700,5.8934,0.6255,0.6255
-0.1508,5.8357,0.6529,0.6529
-0.2289,5.7701,0.6326,0.6326
-0.2987,5.6904,0.5898,0.5898
-0.3473,5.6100,0.5709,0.5709
-0.3837,5.5300,0.5762,0.5762
-0.4224,5.4500,0.5784,0.5784
-0.4602,5.3700,0.5746,0.5746
-0.4866,5.2900,0.5679,0.5679
-0.5101,5.2100,0.5638,0.5638
-0.5351,5.1300,0.5628,0.5628
-0.5508,5.0500,0.5612,0.5612
-0.5625,4.9700,0.5582,0.5582
-0.5793,4.8900,0.5597,0.5597
-0.5967,4.8100,0.5670,0.5670
-0.6125,4.7300,0.5834,0.5834
-0.6282,4.6500,0.6084,0.6084
-0.6422,4.5700,0.6380,0.6380
-0.6524,4.4900,0.6659,0.6659
-0.6634,4.4100,0.6937,0.6937
-0.6769,4.3300,0.7162,0.7162
-0.6823,4.2500,0.7270,0.7270
-0.6793,4.1700,0.7317,0.7317
-0.6792,4.0900,0.7311,0.7311
-0.6912,4.0100,0.7195,0.7195
-0.7074,3.9300,0.7026,0.7026
