# x_m,y_m,w_tr_right_m,w_tr_left_m
1.3692,-2.9407,0.7295,0.7295
1.4191,-3.0187,0.7428,0.7428
1.4750,-3.0932,0.7599,0.7599
1.5295,-3.1701,0.7666,0.7666
1.5868,-3.2475,0.7651,0.7651
1.6579,-3.3227,0.7615,0.7615
1.7274,-3.3940,0.7482,0.7482
1.7838,-3.4641,0.7238,0.7238
1.8495,-3.5267,0.7023,0.7023
1.9296,-3.5892,0.6827,0.6827
2.0100,-3.6514,0.6662,0.6662
2.0900,-3.7120,0.6522,0.6522
2.1700,-3.7671,0.6402,0.6402
2.2500,-3.8301,0.6248,0.6248
2.3300,-3.8896,0.6171,0.6171
2.4100,-3.9423,0.6053,0.6053
2.4900,-3.9914,0.5748,0.5748
2.5700,-4.0276,0.5415,0.5415
2.6500,-4.0452,0.5303,0.5303
2.7300,-4.0534,0.5333,0.5333
2.8100,-4.0586,0.5314,0.5314
2.8900,-4.0653,0.5231,0.5231
2.9700,-4.0697,0.5200,0.5200
3.0500,-4.0708,0.5210,0.5210
3.1300,-4.0683,0.5141,0.5141
3.2100,-4.0579,0.4987,0.4987
3.2900,-4.0500,0.4897,0.4897
3.3700,-4.0421,0.4821,0.4821
3.4500,-4.0317,0.4712,0.4712
3.5300,-4.0303,0.4717,0.4717
3.6100,-4.0261,0.4806,0.4806
3.6900,-4.0152,0.4895,0.4895
3.7700,-4.0089,0.4876,0.4876
3.8500,-4.0109,0.4816,0.4816
3.9300,-3.9977,0.4853,0.4853
4.0100,-3.9782,0.4904,0.4904
4.0900,-3.9640,0.4972,0.4972
4.1700,-3.9453,0.5115,0.5115
4.2500,-3.9154,0.5254,0.5254
4.3300,-3.8864,0.5389,0.5389
4.4100,-3.8509,0.5685,0.5685
4.4900,-3.7919,0.6002,0.6002
4.5700,-3.7199,0.6155,0.6155
4.6510,-3.6514,0.6256,0.6256
4.7238,-3.5789,0.6405,0.6405
4.7717,-3.5008,0.6372,0.6372
4.7994,-3.4200,0.6206,0.6206
4.8225,-3.3400,0.6078,0.6078
4.8402,-3.2600,0.5949,0.5949
4.8545,-3.1800,0.5875,0.5875
4.8748,-3.1000,0.5958,0.5958
4.8929,-3.0200,0.6067,0.6067
4.9047,-2.9400,0.6107,0.6107
4.9131,-2.8600,0.6140,0.6140
4.9220,-2.7800,0.6224,0.6224
4.9294,-2.7000,0.6278,0.6278
4.9376,-2.6200,0.6268,0.6268
4.9409,-2.5400,0.6217,0.6217
4.9454,-2.4600,0.6250,0.6250
4.9495,-2.3800,0.6295,0.6295
4.9513,-2.3000,0.6316,0.6316
4.9568,-2.2200,0.6362,0.6362
4.9607,-2.1400,0.6354,0.6354
4.9600,-2.0600,0.6303,0.6303
4.9600,-1.9800,0.6259,0.6259
4.9599,-1.9000,0.6208,0.6208
4.9646,-1.8200,0.6243,0.6243
4.9684,-1.7400,0.6300,0.6300
4.9760,-1.6600,0.6352,0.6352
