# x_m,y_m,w_tr_right_m,w_tr_left_m
2.8725,-0.3992,0.4632,0.4632
2.9042,-0.4800,0.4550,0.4550
2.9277,-0.5600,0.4409,0.4409
2.9488,-0.6400,0.4335,0.4335
2.9706,-0.7200,0.4422,0.4422
2.9913,-0.8000,0.4608,0.4608
3.0101,-0.8800,0.4801,0.4801
3.0313,-0.9600,0.5013,0.5013
3.0587,-1.0400,0.5287,0.5287
3.0920,-1.1200,0.5633,0.5633
3.1233,-1.2000,0.5898,0.5898
3.1531,-1.2800,0.6015,0.6015
3.1797,-1.3600,0.6045,0.6045
3.2010,-1.4400,0.6021,0.6021
3.2303,-1.5200,0.5989,0.5989
3.2680,-1.6000,0.5934,0.5934
3.2992,-1.6800,0.5876,0.5876
3.3315,-1.7600,0.5795,0.5795
3.3676,-1.8400,0.5730,0.5730
3.3941,-1.9200,0.5751,0.5751
3.4310,-2.0000,0.5697,0.5697
3.4792,-2.0816,0.5617,0.5617
3.5352,-2.1563,0.5506,0.5506
3.6018,-2.2253,0.5328,0.5328
3.6795,-2.2860,0.5210,0.5210
3.7600,-2.3331,0.5167,0.5167
3.8400,-2.3751,0.5215,0.5215
3.9200,-2.4210,0.5163,0.5163
4.0000,-2.4541,0.5071,0.5071
4.0800,-2.4693,0.4983,0.4983
4.1600,-2.4707,0.4836,0.4836
4.2400,-2.4770,0.4747,0.4747
4.3200,-2.4939,0.4792,0.4792
4.4000,-2.5155,0.4956,0.4956
4.4800,-2.5365,0.5163,0.5163
4.5600,-2.5536,0.5336,0.5336
4.6400,-2.5651,0.5451,0.5451
4.7200,-2.5770,0.5570,0.5570
4.8000,-2.5877,0.5677,0.5677
4.8800,-2.6013,0.5813,0.5813
4.9600,-2.6180,0.5980,0.5980
5.0400,-2.6342,0.6142,0.6142
5.1200,-2.6459,0.6259,0.6259
5.2000,-2.6501,0.6301,0.6301
5.2800,-2.6500,0.6300,0.6300
5.3600,-2.6493,0.6293,0.6293
5.4400,-2.6524,0.6324,0.6324
5.5200,-2.6606,0.6406,0.6406
5.6000,-2.6675,0.6475,0.6475
5.6800,-2.6739,0.6539,0.6539
5.7600,-2.6839,0.6639,0.6639
5.8400,-2.6918,0.6715,0.6715
5.9200,-2.6921,0.6734,0.6734
6.0000,-2.6861,0.6749,0.6749
6.0800,-2.6733,0.6762,0.6762
6.1600,-2.6559,0.6798,0.6798
6.2400,-2.6382,0.6872,0.6872
6.3200,-2.6096,0.6835,0.6835
6.4000,-2.5741,0.6749,0.6749
6.4800,-2.5317,0.6621,0.6621
6.5600,-2.4842,0.6486,0.6486
6.6400,-2.4363,0.6431,0.6431
6.7200,-2.3869,0.6414,0.6414
6.8000,-2.3344,0.6378,0.6378
6.8800,-2.2715,0.6259,0.6259
6.9600,-2.2141,0.6188,0.6188
7.0400,-2.1603,0.6083,0.6083
7.1200,-2.1007,0.5881,0.5881
7.2000,-2.0534,0.5832,0.5832
7.2800,-2.0124,0.5909,0.5909
7.3600,-1.9608,0.5980,0.5980
