# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.1800,-0.0300,0.5834,0.5834
-0.2600,-0.0307,0.5876,0.5876
-0.3400,-0.0268,0.5964,0.5964
-0.4200,-0.0213,0.6064,0.6064
-0.5000,-0.0201,0.6128,0.6128
-0.5800,-0.0179,0.6202,0.6202
-0.6600,-0.0112,0.6346,0.6346
-0.7400,-0.0036,0.6568,0.6568
-0.8200,0.0050,0.6868,0.6868
-0.9000,0.0099,0.7149,0.7149
-0.9800,0.0113,0.7370,0.7370
-1.0600,0.0176,0.7571,0.7571
-1.1400,0.0211,0.7680,0.7680
-1.2200,0.0027,0.7890,0.7890
-1.3000,-0.0266,0.8216,0.8216
-1.3800,-0.0599,0.8435,0.8435
-1.4600,-0.1025,0.8456,0.8456
-1.5400,-0.1565,0.8430,0.8430
-1.6208,-0.2090,0.8118,0.8118
-1.7006,-0.2665,0.7459,0.7459
-1.7644,-0.3381,0.6912,0.6912
-1.8140,-0.4200,0.6536,0.6536
-1.8440,-0.5000,0.6302,0.6302
-1.8519,-0.5800,0.6339,0.6339
-1.8497,-0.6600,0.6586,0.6586
-1.8638,-0.7400,0.6668,0.6668
-1.8873,-0.8200,0.6604,0.6604
-1.8985,-0.9000,0.6513,0.6513
-1.9041,-0.9800,0.6488,0.6488
-1.9225,-1.0600,0.6593,0.6593
-1.9436,-1.1400,0.6666,0.6666
-1.9554,-1.2200,0.6565,0.6565
-1.9592,-1.3000,0.6408,0.6408
-1.9690,-1.3800,0.6418,0.6418
-1.9784,-1.4600,0.6423,0.6423
-1.9850,-1.5400,0.6323,0.6323
-1.9923,-1.6200,0.6255,0.6255
-2.0033,-1.7000,0.6326,0.6326
-2.0159,-1.7800,0.6478,0.6478
-2.0293,-1.8600,0.6710,0.6710
-2.0370,-1.9400,0.6829,0.6829
-2.0480,-2.0200,0.6895,0.6895
-2.0579,-2.1000,0.7005,0.7005
-2.0627,-2.1800,0.7107,0.7107
-2.0623,-2.2600,0.7136,0.7136
-2.0597,-2.3400,0.7152,0.7152
-2.0532,-2.4200,0.7130,0.7130
-2.0434,-2.5000,0.7083,0.7083
-2.0403,-2.5800,0.7101,0.7101
-2.0389,-2.6600,0.7093,0.7093
-2.0306,-2.7400,0.7042,0.7042
-2.0217,-2.8200,0.7057,0.7057
-2.0192,-2.9000,0.7100,0.7100
-2.0205,-2.9800,0.7101,0.7101
-2.0161,-3.0600,0.7062,0.7062
-2.0107,-3.1400,0.7008,0.7008
-2.0103,-3.2200,0.6905,0.6905
-2.0068,-3.3000,0.6719,0.6719
-2.0013,-3.3800,0.6616,0.6616
-1.9996,-3.4600,0.6595,0.6595
-2.0054,-3.5400,0.6693,0.6693
-2.0101,-3.6200,0.6753,0.6753
-2.0100,-3.7000,0.6678,0.6678
-2.0100,-3.7800,0.6608,0.6608
-2.0100,-3.8600,0.6570,0.6570
-2.0100,-3.9400,0.6520,0.6520
-2.0092,-4.0200,0.6502,0.6502
-2.0119,-4.1000,0.6492,0.6492
-2.0175,-4.1800,0.6455,0.6455
-2.0208,-4.2600,0.6413,0.6413
-2.0200,-4.3400,0.6397,0.6397
-2.0193,-4.4200,0.6403,0.6403
-2.0232,-4.5000,0.6379,0.6379
-2.0287,-4.5800,0.6421,0.6421
-2.0307,-4.6600,0.6549,0.6549
-2.0300,-4.7400,0.6618,0.6618
-2.0300,-4.8200,0.6601,0.6601
-2.0300,-4.9000,0.6607,0.6607
-2.0284,-4.9800,0.6548,0.6548
