# x_m,y_m,w_tr_right_m,w_tr_left_m
7.6415,4.3268,0.9142,0.9142
7.6846,4.2604,0.9105,0.9105
7.7068,4.1804,0.9049,0.9049
7.7299,4.1000,0.8967,0.8967
7.7483,4.0200,0.8764,0.8764
7.7605,3.9400,0.8384,0.8384
7.7660,3.8600,0.7958,0.7958
7.7643,3.7800,0.7688,0.7688
7.7523,3.7000,0.7552,0.7552
7.7424,3.6200,0.7400,0.7400
7.7399,3.5400,0.7196,0.7196
7.7387,3.4600,0.6945,0.6945
7.7340,3.3800,0.6683,0.6683
7.7274,3.3000,0.6456,0.6456
7.7229,3.2200,0.6332,0.6332
7.7197,3.1400,0.6307,0.6307
7.7081,3.0600,0.6247,0.6247
7.6935,2.9800,0.6175,0.6175
7.6856,2.9000,0.6161,0.6161
7.6813,2.8200,0.6181,0.6181
7.6793,2.7400,0.6227,0.6227
7.6801,2.6600,0.6296,0.6296
7.6754,2.5800,0.6324,0.6324
7.6700,2.5000,0.6280,0.6280
7.6654,2.4200,0.6235,0.6235
7.6580,2.3400,0.6235,0.6235
7.6506,2.2600,0.6297,0.6297
7.6426,2.1800,0.6383,0.6383
7.6359,2.1000,0.6406,0.6406
7.6289,2.0200,0.6418,0.6418
7.6126,1.9400,0.6528,0.6528
7.5859,1.8600,0.6728,0.6728
7.5581,1.7800,0.6931,0.6931
7.5177,1.7000,0.7254,0.7254
7.4814,1.6200,0.7555,0.7555
7.4377,1.5400,0.7861,0.7861
7.3777,1.4600,0.8194,0.8194
7.3046,1.3800,0.8452,0.8452
7.2331,1.2993,0.8477,0.8477
7.1628,1.2213,0.8445,0.8445
7.0926,1.1468,0.8405,0.8405
7.0284,1.0707,0.8394,0.8394
6.9698,0.9885,0.8366,0.8366
6.9077,0.9132,0.8289,0.8289
6.8488,0.8443,0.8215,0.8215
6.7854,0.7715,0.8214,0.8214
6.7327,0.6900,0.8200,0.8200
6.6835,0.6100,0.8204,0.8204
6.6282,0.5300,0.8274,0.8274
6.5655,0.4500,0.8282,0.8282
6.5001,0.3691,0.8110,0.8110
6.4274,0.2946,0.7868,0.7868
6.3539,0.2243,0.7592,0.7592
6.2876,0.1548,0.7304,0.7304
6.2235,0.0848,0.7084,0.7084
6.1582,0.0107,0.6935,0.6935
6.0910,-0.0698,0.6826,0.6826
6.0100,-0.1381,0.6724,0.6724
5.9300,-0.1919,0.6707,0.6707
5.8499,-0.2333,0.6578,0.6578
5.7746,-0.2789,0.6580,0.6580
5.6997,-0.3336,0.6702,0.6702
5.6200,-0.3817,0.6710,0.6710
5.5400,-0.4112,0.6565,0.6565
5.4600,-0.4349,0.6402,0.6402
5.3800,-0.4580,0.6297,0.6297
5.3000,-0.4811,0.6249,0.6249
5.2200,-0.5056,0.6293,0.6293
5.1400,-0.5287,0.6420,0.6420
5.0600,-0.5493,0.6572,0.6572
4.9800,-0.5670,0.6650,0.6650
4.9000,-0.5686,0.6668,0.6668
4.8200,-0.5507,0.6598,0.6598
4.7400,-0.5343,0.6408,0.6408
4.6600,-0.5226,0.6186,0.6186
4.5800,-0.5097,0.5995,0.5995
4.5000,-0.4972,0.5906,0.5906
4.4200,-0.4865,0.5938,0.5938
4.3400,-0.4731,0.5966,0.5966
4.2600,-0.4607,0.6008,0.6008
4.1800,-0.4474,0.6063,0.6063
4.1000,-0.4303,0.6044,0.6044
4.0200,-0.4050,0.5948,0.5948
3.9400,-0.3694,0.5871,0.5871
3.8600,-0.3279,0.5842,0.5842
3.7800,-0.2878,0.5844,0.5844
3.7000,-0.2501,0.5831,0.5831
