# x_m,y_m,w_tr_right_m,w_tr_left_m
1.8981,0.4800,0.6963,0.6963
1.9425,0.5600,0.6591,0.6591
1.9764,0.6400,0.6347,0.6347
1.9905,0.7200,0.6342,0.6342
2.0050,0.8000,0.6296,0.6296
2.0225,0.8800,0.6243,0.6243
2.0377,0.9600,0.6210,0.6210
2.0541,1.0400,0.6120,0.6120
2.0674,1.1200,0.5993,0.5993
2.0838,1.2000,0.5777,0.5777
2.0979,1.2800,0.5640,0.5640
2.1016,1.3600,0.5667,0.5667
2.0983,1.4400,0.5731,0.5731
2.0895,1.5200,0.5661,0.5661
2.0750,1.6000,0.5438,0.5438
2.0642,1.6800,0.5249,0.5249
2.0570,1.7600,0.5164,0.5164
2.0431,1.8400,0.5035,0.5035
2.0261,1.9200,0.4914,0.4914
2.0206,2.0000,0.4905,0.4905
2.0132,2.0800,0.4829,0.4829
1.9953,2.1600,0.4668,0.4668
1.9789,2.2400,0.4599,0.4599
1.9725,2.3200,0.4671,0.4671
1.9694,2.4000,0.4734,0.4734
1.9591,2.4800,0.4766,0.4766
1.9360,2.5600,0.4622,0.4622
1.9207,2.6400,0.4416,0.4416
1.9185,2.7200,0.4315,0.4315
1.9232,2.8000,0.4272,0.4272
1.9287,2.8800,0.4231,0.4231
1.9307,2.9600,0.4196,0.4196
1.9300,3.0400,0.4119,0.4119
1.9300,3.1200,0.3975,0.3975
1.9300,3.2000,0.3899,0.3899
1.9304,3.2800,0.3898,0.3898
1.9293,3.3600,0.3899,0.3899
1.9237,3.4400,0.3896,0.3896
1.9150,3.5200,0.3852,0.3852
1.9039,3.6000,0.3735,0.3735
1.8935,3.6800,0.3708,0.3708
1.8905,3.7600,0.3769,0.3769
1.8852,3.8400,0.3790,0.3790
1.8734,3.9200,0.3720,0.3720
1.8583,4.0000,0.3590,0.3590
1.8452,4.0800,0.3452,0.3452
1.8403,4.1600,0.3402,0.3402
1.8400,4.2400,0.3401,0.3401
1.8400,4.3200,0.3401,0.3401
1.8408,4.4000,0.3393,0.3393
1.8388,4.4800,0.3412,0.3412
1.8300,4.5600,0.3500,0.3500
1.8180,4.6400,0.3630,0.3630
1.8083,4.7200,0.3669,0.3669
1.7940,4.8000,0.3710,0.3710
1.7743,4.8800,0.3741,0.3741
1.7588,4.9600,0.3773,0.3773
1.7481,5.0400,0.3824,0.3824
1.7303,5.1200,0.3890,0.3890
1.7007,5.2000,0.4003,0.4003
1.6712,5.2800,0.4089,0.4089
1.6418,5.3600,0.4169,0.4169
1.6039,5.4415,0.4357,0.4357
1.5468,5.5147,0.4774,0.4774
1.4715,5.5784,0.5253,0.5253
1.3900,5.6503,0.5774,0.5774
1.3100,5.7306,0.6374,0.6374
1.2300,5.7629,0.6630,0.6630
1.1500,5.7409,0.6406,0.6406
1.0700,5.7085,0.6082,0.6082
0.9900,5.6794,0.5797,0.5797
0.9100,5.6524,0.5607,0.5607
0.8300,5.6257,0.5500,0.5500
0.7500,5.5974,0.5399,0.5399
0.6700,5.5712,0.5349,0.5349
0.5900,5.5456,0.5393,0.5393
0.5100,5.5107,0.5413,0.5413
0.4300,5.4682,0.5415,0.5415
0.3500,5.4163,0.5425,0.5425
0.2700,5.3506,0.5347,0.5347
0.1900,5.2837,0.5207,0.5207
0.1100,5.2345,0.5147,0.5147
0.0300,5.2015,0.5009,0.5009
-0.0500,5.1888,0.4782,0.4782
-0.1300,5.1896,0.4592,0.4592
-0.2100,5.1900,0.4449,0.4449
-0.2900,5.1900,0.4397,0.4397
-0.3700,5.1893,0.4399,0.4399
-0.4500,5.1924,0.4411,0.4411
-0.5300,5.1998,0.4352,0.4352
-0.6100,5.2096,0.4219,0.4219
-0.6900,5.2215,0.4079,0.4079
-0.7700,5.2333,0.4050,0.4050
-0.8500,5.2379,0.4117,0.4117
-0.9300,5.2500,0.4184,0.4184
-1.0100,5.2752,0.4238,0.4238
-1.0900,5.3037,0.4244,0.4244
-1.1700,5.3405,0.4299,0.4299
-1.2500,5.3851,0.4342,0.4342
-1.3300,5.4320,0.4384,0.4384
-1.4100,5.4831,0.4550,0.4550
-1.4900,5.5287,0.4717,0.4717
-1.5700,5.5646,0.4817,0.4817
-1.6500,5.6093,0.5126,0.5126
-1.7300,5.6435,0.5428,0.5428
-1.8100,5.6471,0.5465,0.5465
-1.8900,5.6363,0.5395,0.5395
-1.9700,5.6314,0.5462,0.5462
-2.0500,5.6283,0.5639,0.5639
-2.1300,5.6239,0.5720,0.5720
-2.2100,5.6163,0.5657,0.5657
-2.2900,5.6068,0.5653,0.5653
-2.3700,5.5955,0.5693,0.5693
-2.4500,5.5833,0.5689,0.5689
-2.5300,5.5645,0.5745,0.5745
-2.6100,5.5386,0.5932,0.5932
-2.6900,5.5072,0.6224,0.6224
-2.7700,5.4764,0.6535,0.6535
-2.8500,5.4487,0.6813,0.6813
-2.9300,5.4198,0.7102,0.7102
-3.0122,5.3828,0.7472,0.7472
-3.0853,5.3322,0.7978,0.7978
-3.1391,5.2611,0.8727,0.8727
-3.1653,5.1800,0.9437,0.9437
-3.1717,5.1000,0.9617,0.9617
-3.1693,5.0200,0.9343,0.9343
-3.1739,4.9400,0.9034,0.9034
-3.1758,4.8600,0.8768,0.8768
-3.1804,4.7800,0.8483,0.8483
-3.1918,4.7000,0.8151,0.8151
-3.2041,4.6200,0.7812,0.7812
-3.2031,4.5400,0.7593,0.7593
-3.1931,4.4600,0.7500,0.7500
-3.1782,4.3800,0.7282,0.7282
-3.1663,4.3000,0.6880,0.6880
-3.1584,4.2200,0.6499,0.6499
-3.1473,4.1400,0.6190,0.6190
-3.1339,4.0600,0.5955,0.5955
-3.1195,3.9800,0.5789,0.5789
-3.1046,3.9000,0.5692,0.5692
-3.0900,3.8200,0.5702,0.5702
-3.0770,3.7400,0.5853,0.5853
-3.0649,3.6600,0.6056,0.6056
-3.0429,3.5800,0.6173,0.6173
-2.9958,3.5000,0.6273,0.6273
-2.9390,3.4200,0.6373,0.6373
-2.8891,3.3400,0.6362,0.6362
-2.8373,3.2590,0.6376,0.6376
-2.7701,3.1856,0.6390,0.6390
-2.6907,3.1243,0.6410,0.6410
-2.6100,3.0694,0.6497,0.6497
-2.5300,3.0182,0.6415,0.6415
-2.4500,2.9717,0.6043,0.6043
-2.3700,2.9307,0.5573,0.5573
-2.2900,2.9021,0.5231,0.5231
-2.2100,2.8818,0.5010,0.5010
-2.1300,2.8611,0.4851,0.4851
-2.0500,2.8378,0.4756,0.4756
-1.9700,2.8147,0.4658,0.4658
-1.8900,2.7880,0.4528,0.4528
-1.8100,2.7618,0.4536,0.4536
-1.7300,2.7364,0.4645,0.4645
-1.6500,2.7100,0.4673,0.4673
-1.5700,2.6785,0.4649,0.4649
-1.4900,2.6425,0.4736,0.4736
-1.4100,2.6109,0.4849,0.4849
-1.3293,2.5796,0.4954,0.4954
-1.2492,2.5302,0.5287,0.5287
-1.1832,2.4602,0.5905,0.5905
-1.1419,2.3804,0.6292,0.6292
-1.1238,2.3000,0.6209,0.6209
-1.1255,2.2200,0.5941,0.5941
-1.1663,2.1400,0.5364,0.5364
-1.2234,2.0600,0.4692,0.4692
-1.2605,1.9800,0.4294,0.4294
-1.2758,1.9000,0.4106,0.4106
-1.2808,1.8200,0.3997,0.3997
-1.2800,1.7400,0.4028,0.4028
-1.2800,1.6600,0.4083,0.4083
-1.2793,1.5800,0.4106,0.4106
-1.2801,1.5000,0.4210,0.4210
-1.2907,1.4200,0.4548,0.4548
-1.3114,1.3400,0.4852,0.4852
-1.3367,1.2600,0.4976,0.4976
-1.3654,1.1800,0.5083,0.5083
-1.3715,1.1000,0.5031,0.5031
-1.3387,1.0200,0.4680,0.4680
-1.2938,0.9400,0.4235,0.4235
-1.2626,0.8600,0.3986,0.3986
-1.2434,0.7800,0.3907,0.3907
-1.2293,0.7000,0.3938,0.3938
-1.2172,0.6200,0.3943,0.3943
