# x_m,y_m,w_tr_right_m,w_tr_left_m
1.4526,4.0300,0.6455,0.6455
1.5204,4.1100,0.6485,0.6485
1.5935,4.1900,0.6544,0.6544
1.6614,4.2700,0.6569,0.6569
1.7311,4.3500,0.6694,0.6694
1.8022,4.4300,0.6829,0.6829
1.8658,4.5100,0.6796,0.6796
1.9130,4.5904,0.6685,0.6685
1.9599,4.6693,0.6742,0.6742
2.0293,4.7439,0.6986,0.6986
2.0961,4.8214,0.7222,0.7222
2.1524,4.8978,0.7197,0.7197
2.2188,4.9519,0.7153,0.7153
2.2996,4.9846,0.7168,0.7168
2.3800,5.0195,0.7138,0.7138
2.4600,5.0663,0.7140,0.7140
2.5400,5.1024,0.7163,0.7163
2.6200,5.1108,0.7039,0.7039
2.7000,5.1229,0.6953,0.6953
2.7800,5.1518,0.6991,0.6991
2.8600,5.1693,0.6980,0.6980
2.9400,5.1746,0.6966,0.6966
3.0200,5.1813,0.6983,0.6983
3.1000,5.1765,0.6794,0.6794
3.1800,5.1632,0.6503,0.6503
3.2600,5.1466,0.6249,0.6249
3.3400,5.1257,0.5981,0.5981
3.4200,5.1106,0.5800,0.5800
3.5000,5.0961,0.5661,0.5661
3.5800,5.0787,0.5550,0.5550
3.6600,5.0600,0.5508,0.5508
3.7400,5.0418,0.5567,0.5567
3.8200,5.0246,0.5700,0.5700
3.9000,5.0014,0.5750,0.5750
3.9800,4.9690,0.5736,0.5736
4.0600,4.9408,0.5733,0.5733
4.1400,4.9197,0.5688,0.5688
4.2200,4.8934,0.5671,0.5671
4.3000,4.8500,0.5905,0.5905
4.3800,4.7911,0.6323,0.6323
4.4600,4.7358,0.6568,0.6568
4.5400,4.6941,0.6584,0.6584
4.6200,4.6617,0.6575,0.6575
4.7000,4.6326,0.6524,0.6524
4.7800,4.6053,0.6438,0.6438
4.8600,4.5867,0.6390,0.6390
4.9400,4.5731,0.6327,0.6327
5.0200,4.5632,0.6254,0.6254
5.1000,4.5525,0.6281,0.6281
5.1800,4.5497,0.6295,0.6295
5.2600,4.5632,0.6193,0.6193
5.3400,4.5801,0.6142,0.6142
5.4200,4.5901,0.6261,0.6261
5.5000,4.6004,0.6414,0.6414
5.5800,4.6130,0.6471,0.6471
5.6600,4.6292,0.6462,0.6462
5.7400,4.6449,0.6374,0.6374
5.8200,4.6556,0.6250,0.6250
5.9000,4.6686,0.6200,0.6200
5.9800,4.6811,0.6189,0.6189
6.0600,4.6875,0.6179,0.6179
6.1400,4.6921,0.6238,0.6238
6.2200,4.6959,0.6341,0.6341
6.3000,4.7053,0.6432,0.6432
6.3800,4.7149,0.6434,0.6434
6.4600,4.7242,0.6423,0.6423
6.5400,4.7346,0.6415,0.6415
6.6200,4.7462,0.6380,0.6380
6.7000,4.7507,0.6326,0.6326
6.7800,4.7552,0.6348,0.6348
6.8600,4.7642,0.6442,0.6442
6.9400,4.7763,0.6561,0.6561
7.0200,4.7900,0.6700,0.6700
7.1000,4.8035,0.6885,0.6885
7.1800,4.8165,0.7149,0.7149
7.2600,4.8304,0.7483,0.7483
7.3400,4.8393,0.7743,0.7743
7.4200,4.8364,0.7832,0.7832
7.5000,4.8234,0.7815,0.7815
7.5800,4.8106,0.7836,0.7836
7.6600,4.7947,0.7881,0.7881
7.7400,4.7787,0.7947,0.7947
